DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,COMMON_CONTROL,MULTIPLE_MEASUREMENT,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
92,scopus3635,fenitrothion,3.2,LC50,0.8,1,CI_95,2,5,"10 individuals only, one vessel",L 93%,4.3,LC50,2,3.6,CI_95,2,5,"10 individuals only, one vessel",litchfield-wilcoxon,scopus3635_a_h,scopus3635_43,Pimephales promelas,fathead minnow,Columbia National Fisheries Research Laboratory,Teleostei ,Chordata,Animalia,Aquatic,adult,96,insecticide,NO,n/a,environmental,acute,22,7.4,n/a,n/a,YES,40,NO,liquid formulation,YES,n/a,1983,sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used.
93,scopus3635,fenitrothion,3.2,LC50,0.8,1,CI_95,2,5,"10 individuals only, one vessel",L 87.7%,3.6,LC50,1.1,1.6,CI_95,2,5,"10 individuals only, one vessel",litchfield-wilcoxon,scopus3635_a_h,scopus3635_44,Pimephales promelas,fathead minnow,Columbia National Fisheries Research Laboratory,Teleostei ,Chordata,Animalia,Aquatic,adult,96,insecticide,NO,n/a,environmental,acute,22,7.4,n/a,n/a,YES,40,NO,liquid formulation,YES,n/a,1983,sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used.
94,scopus3635,acephate,>50,LC50,n/a,n/a,n/a,2,5,"10 individuals only, one vessel",WP 75%,>50,LC50,n/a,n/a,n/a,2,5,"10 individuals only, one vessel",litchfield-wilcoxon,scopus3635_a_i,scopus3635_45,Pimephales promelas,fathead minnow,Columbia National Fisheries Research Laboratory,Teleostei ,Chordata,Animalia,Aquatic,adult,96,insecticide,NO,n/a,environmental,acute,22,7.4,n/a,n/a,YES,40,YES,wettable powder,YES,n/a,1983,"sample size from committee on methods for toxicity tests with aquatic organisms 1975. In the document it says at least 10 individuals so to be conservative this is the value I used.  In the standard testing followed, range finding tests are outlined. I assume at least 3 orders of magnitude concentrations were tested. "
95,wos279,brornoxynil octanoate,57,EC50,12,13,CI_95,2,5,"10 individuals, one vessel",Buctril,57,EC50,12,13,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_a,wos_279_1,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,24,YES,40.2,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
96,wos279,brornoxynil octanoate,57,EC50,12,13,CI_95,2,5,"10 individuals, one vessel",Bronate,43,EC50,8,13,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_a,wos_279_2,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,24,YES,40.2,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
97,wos279,brornoxynil octanoate,65,EC50,12,16,CI_95,2,5,"10 individuals, one vessel",Buctril,41,EC50,7,11,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_b,wos_279_3,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,168,YES,40.2,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
98,wos279,brornoxynil octanoate,65,EC50,12,16,CI_95,2,5,"10 individuals, one vessel",Bronate,49,EC50,11,11,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_b,wos_279_4,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,168,YES,40.2,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach. Could not include soft water for eldest category as ai and formulations were different ages (14d vs 15d)."
99,wos279,brornoxynil octanoate,105,EC50,23,31,CI_95,2,5,"10 individuals, one vessel",Buctril,91,EC50,19,20,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_c,wos_279_5,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,24,YES,275.6,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
100,wos279,brornoxynil octanoate,105,EC50,23,31,CI_95,2,5,"10 individuals, one vessel",Bronate,94,EC50,19,22,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_c,wos_279_6,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,24,YES,275.6,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
101,wos279,brornoxynil octanoate,75,EC50,16,27,CI_95,2,5,"10 individuals, one vessel",Buctril,78,EC50,21,21,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_d,wos_279_7,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,168,YES,275.6,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
102,wos279,brornoxynil octanoate,75,EC50,16,27,CI_95,2,5,"10 individuals, one vessel",Bronate,57,EC50,11,13,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_d,wos_279_8,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,168,YES,275.6,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
103,wos279,brornoxynil octanoate,161,EC50,36,45,CI_95,2,5,"10 individuals, one vessel",Buctril,125,EC50,23,37,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_e,wos_279_9,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,336,YES,275.6,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
104,wos279,brornoxynil octanoate,161,EC50,36,45,CI_95,2,5,"10 individuals, one vessel",Bronate,145,EC50,31,32,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_e,wos_279_10,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,336,YES,275.6,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
105,wos279,brornoxynil octanoate,81,EC50,18,18,CI_95,2,5,"10 individuals, one vessel",Buctril,61,EC50,14,17,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_f,wos_279_11,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,24,YES,560,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
106,wos279,brornoxynil octanoate,81,EC50,18,18,CI_95,2,5,"10 individuals, one vessel",Bronate,90,EC50,22,24,CI_95,2,5,"10 individuals, one vessel",moving average-angle,wos279_f,wos_279_12,Daphnia magna,water flea,n/a,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,n/a,environmental,acute,20,7.7,starved,24,YES,560,NO,Emulsifiable concentrate,YES,n/a,1992,"Only include LC50s where exposure was for the whole period. For example, exclude a 96h LC50 if there was 48h treatment and 48 recovery in clean water. If both static and static-renewal are available for aquatic treatments, select static only as this is the most common approach."
107,wos2111,glyphosate-IPA,162,IC50,12,15,CI_95,2,1,"2 replicates, fixed number of bacteria, luminiscence endpoint",Roundup,24.9,IC50,1,1.1,CI_95,2,1,"2 replicates, fixed number of bacteria, luminiscence endpoint",probit,wos2111_a,wos2111_1,Vibrio fischeri ,n/a,Azur Environmental,Gammaproteobacteria,Proteobacteria,Bacteria,Aquatic,n/a,0.25,herbicide,NO,n/a,environmental,acute,15,n/a,n/a,n/a,YES,n/a,NO,soluble concentrate,YES,n/a,2003,n/a
108,wos2111,glyphosate-IPA,41,IC50,11.6,18.1,CI_95,3,1,"3 replicates, 20000 cells but absorbance endpoint",Roundup,5.81,IC50,3.45,2.33,CI_95,3,1,"3 replicates, 20000 cells but absorbance endpoint",probit,wos2111_b,wos2111_2,Selenastrum capricornutum,n/a,"Culture Collection of Algae, University of Texas at Austin",Chlorophyceae,Chlorophyta,Plantae,Aquatic,n/a,96,herbicide,NO,n/a,environmental,acute,25,7.5,n/a,n/a,YES,n/a,NO,soluble concentrate,YES,n/a,2003,n/a
109,wos2111,glyphosate-IPA,5.89,IC50,2.75,4.51,CI_95,3,1,"3 replicates, 20000 cells but absorbance endpoint",Roundup,1.85,IC50,1.52,8.64,CI_95,3,1,"3 replicates, 20000 cells but absorbance endpoint",probit,wos2111_c,wos2111_3,Skeletonema costatum,n/a,"Culture Collection of Algae, University of Texas at Austin",Bacillariophyceae,Gyrista,Chromista ,Aquatic,n/a,96,herbicide,NO,n/a,environmental,acute,20,8,n/a,n/a,YES,n/a,NO,soluble concentrate,YES,n/a,2003,n/a
110,wos2111,glyphosate-IPA,386,IC50,290.8,1634,CI_95,3,1,"3 replicates, 2500 cells, cell count by haemocytometer endpoint",Roundup,29.5,IC50,18.2,36.5,CI_95,3,1,"3 replicates, 2500 cells, cell count by haemocytometer endpoint",probit,wos2111_d,wos2111_4,Tetrahymena pyriformis,n/a,"Culture Collection of Algae and Protozoa (Cumbria,UK).",Ciliatea ,Ciliophora,Chromista ,Aquatic,n/a,40,herbicide,NO,n/a,environmental,acute,27,7.4,n/a,n/a,NO,n/a,NO,soluble concentrate,YES,n/a,2003,n/a
111,wos2111,glyphosate-IPA,64.09,IC50,45.09,260.91,CI_95,3,1,"3 replicates, 1000 cells, cell count by haemocytometer endpoint",Roundup,23.5,IC50,n/a,n/a,n/a,3,1,"3 replicates, 1000 cells, cell count by haemocytometer endpoint",probit,wos2111_e,wos2111_5,Euplotes vannus,n/a,"Culture Collection of Algae and Protozoa (Cumbria,UK).",Spirotrichea,Ciliophora,Chromista ,Aquatic,n/a,48,herbicide,NO,n/a,environmental,acute,20,8,n/a,n/a,NO,n/a,YES,soluble concentrate,YES,n/a,2003,CIs for roundup could not be calculated
112,wos2111,glyphosate-IPA,415,LC50,76,93,CI_95,4,5,"4 replicates, 5 individuals",Roundup,5.39,LC50,0.58,0.66,CI_95,4,5,"4 replicates, 5 individuals",trimmed spearman–karber,wos2111_f,wos2111_6,Ceriodaphnia dubia,n/a,"Aquatic Research Organisms (Hampton,NH,USA)",Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,n/a,environmental,acute,25,8.07,n/a,n/a,YES,n/a,NO,soluble concentrate,YES,n/a,2003,n/a
113,wos2111,glyphosate-IPA,49.3,LC50,10.9,13.8,CI_95,4,5,"4 replicates, 5 individuals",Roundup,1.77,LC50,0.44,0.57,CI_95,4,5,"4 replicates, 5 individuals",trimmed spearman–karber,wos2111_g,wos2111_7,Acartia tonsa,n/a,Marine Biological Laboratory at Helsingør,Copepoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,n/a,environmental,acute,20,8,n/a,n/a,YES,n/a,NO,soluble concentrate,YES,n/a,2003,n/a
114,wos840,thiamethoxam,0.32,LC50,0.02,0.08,CI_95,5,10,"5 replicates, 10 individuals",Actara,0.35,LC50,0.05,0.05,CI_95,5,10,"5 replicates, 10 individuals","drc package, not reported adequately",wos840_a,wos840_1,Folsomia candida,n/a,"Department of Ecological Science, Vrije Universiteit, Amsterdam",Collembola ,Arthropoda,Animalia,Terrestrial,adult,660,insecticide,NO,female,environmental,chronic,20,n/a,fed,264,YES,n/a,NO,Water-dispersible granules,YES,n/a,2018,"Only include acute and chronic toxicity tests that were performed to test individuals with no history of pesticide exposure, and no history of parental exposure. Exclude multigenerational studies like some of the endpoints in. The formulation was curtailed one day early in comparison to the ai. I decided to include it because there was no difference between the two treatments and the difference of one day was highly unlikely to have changed the actara lc50."
115,wos44,S-metolachlor ,18.71,EC50,0.52,0.54,CI_95,4,5,"4 replicates, 5 individuals",Primextra® GOLD TZ ,23.53,EC50,2.93,5.37,CI_95,4,5,"4 replicates, 5 individuals",probit,wos44_a,wos44_1,Daphnia longispina,n/a,EM7,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,n/a,environmental,acute,20,n/a,starved,24,YES,n/a,NO,Aqueous suspension concentrates,YES,n/a,2015,n/a
116,wos293,dimethoate,155.02,LC50,22.72,28.39,CI_95,24,1,"24 wells, 1 individual in each",nano dimethoate,251.81,LC50,45.66,59.26,CI_95,24,1,"24 wells, 1 individual in each",probit,wos293_a,wos293_1,Danio rerio ,zebrafish,wild-type,Teleostei ,Chordata,Animalia,Aquatic,embryo,96,insecticide,YES,n/a,environmental,acute,26,n/a,n/a,3,YES,n/a,NO,nanoparticles,YES,n/a,2022,n/a
117,wos293,dimethoate,155.02,LC50,22.72,28.39,CI_95,24,1,"24 wells, 1 individual in each",500 EC Nortox® ,5.27,LC50,0.98,1.18,CI_95,24,1,"24 wells, 1 individual in each",probit,wos293_a,wos293_2,Danio rerio ,zebrafish,wild-type,Teleostei ,Chordata,Animalia,Aquatic,embryo,96,insecticide,NO,n/a,environmental,acute,26,n/a,n/a,3,YES,n/a,NO,Emulsifiable concentrate,YES,n/a,2022,n/a
118,wos128,glyphosate-IPA,2.152974504,LC50,1.473087819,0.793201133,CI_95,2,5,"1-3 replicates, 10 individuals",Roundup Plus,4.532577904,LC50,2.492917847,2.039660057,CI_95,2,5,"1-3 replicates, 10 individuals",probit,wos128_a,wos128_1,Daphnia magna,water flea,Reading,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,female,environmental,acute,21,7.5,n/a,24,YES,n/a,NO,soluble concentrate,YES,n/a,2013,"knokke 4 was excluded because this strain was derived from individuals from ponds in areas of intensive agriculture. Therefore, they had a background of pesticide exposure."
119,wos128,glyphosate-IPA,7.138810198,LC50,1.359773371,2.039660057,CI_95,2,5,"1-3 replicates, 10 individuals",Roundup Plus,8.158640227,LC50,2.039660057,3.059490085,CI_95,2,5,"1-3 replicates, 10 individuals",probit,wos128_b,wos128_2,Daphnia magna,water flea,Tromso,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,48,herbicide,NO,female,environmental,acute,21,7.5,n/a,24,YES,n/a,NO,soluble concentrate,YES,n/a,2013,"knokke 4 was excluded because this strain was derived from individuals from ponds in areas of intensive agriculture. Therefore, they had a background of pesticide exposure."
120,wos128,glyphosate-IPA,10.31161473,LC50,3.28611898,4.419263456,CI_95,2,5,"1-3 replicates, 10 individuals",Roundup Plus,14.0509915,LC50,2.039660057,2.492917847,CI_95,2,5,"1-3 replicates, 10 individuals",probit,wos128_c,wos128_3,Daphnia magna,water flea,Tromso,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,female,environmental,acute,21,7.5,n/a,168,YES,n/a,NO,soluble concentrate,YES,n/a,2013,"knokke 4 was excluded because this strain was derived from individuals from ponds in areas of intensive agriculture. Therefore, they had a background of pesticide exposure."
121,wos128,glyphosate-IPA,22.32294618,LC50,6.458923513,7.932011331,CI_95,2,5,"1-3 replicates, 10 individuals",Roundup Plus,31.16147309,LC50,3.626062323,4.872521246,CI_95,2,5,"1-3 replicates, 10 individuals",probit,wos128_d,wos128_4,Daphnia magna,water flea,Tromso,Branchiopoda,Arthropoda,Animalia,Aquatic,adult,48,herbicide,NO,female,environmental,acute,21,7.5,n/a,504,YES,n/a,NO,soluble concentrate,YES,n/a,2013,"knokke 4 was excluded because this strain was derived from individuals from ponds in areas of intensive agriculture. Therefore, they had a background of pesticide exposure."
122,wos128,glyphosate-IPA,1.8645,LC50,5.2295,5.2295,SE,2,5,"1 replicate, 10 individuals",Roundup Plus,1.1022,LC50,1.1396,1.1396,SE,2,5,"1 replicate, 10 individuals",three parameter logistic,wos128_e,wos128_5,Daphnia magna,water flea,Tromso,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,1320,herbicide,NO,female,environmental,chronic,21,7.5,fed,24,YES,n/a,NO,soluble concentrate,YES,n/a,2013,"knokke 4 was excluded because this strain was derived from individuals from ponds in areas of intensive agriculture. Therefore, they had a background of pesticide exposure."
123,wos996,cycloxydim,>100,LC50,n/a,n/a,n/a,5,5,"5 replicates, 5 individuals",Focus Ultra,3.1752,LC50,0.09612,0.09612,SE,5,5,"5 replicates, 5 individuals","drc package, specific model not reported",wos996_a,wos996_1,Rana temporaria,european common frogs,"Palatinate Forest, SW Germany",Amphibia,Chordata,Animalia,Aquatic/Terrestrial,larvae,96,herbicide,NO,n/a,environmental,acute,21,n/a,starved,20 (Gosner Stage),NO,n/a,YES,Emulsifiable concentrate,NO,YES,2021,n/a
124,wos941,thiacloprid,0.51,LC50,-0.264,1.284,CI_95,3,5,"3 replicates, 5 individuals",Calypso,0.032,LC50,0.005,0.004,CI_95,3,5,"3 replicates, 5 individuals",four parameter logistic,wos941_a,wos941_1,Eisenia andrei,n/a,n/a,Clitellata ,Annelida ,Animalia,Terrestrial,adult,48,insecticide,NO,hermaphrodite,environmental,acute,20,n/a,n/a,n/a,YES,n/a,NO,Aqueous suspension concentrates,YES,n/a,2021,lower CI was bigger than the LC50 estimate. Use higher CI to calculate SE.
125,wos941,esfenvalerate,0.032,LC50,0.006,0.008,CI_95,3,5,"3 replicates, 5 individuals",Sumialfa,0.084,LC50,0.05,0.05,CI_95,3,5,"3 replicates, 5 individuals",four parameter logistic,wos941_b,wos941_2,Eisenia andrei,n/a,n/a,Clitellata ,Annelida ,Animalia,Terrestrial,adult,48,insecticide,NO,hermaphrodite,environmental,acute,20,n/a,n/a,n/a,YES,n/a,NO,Emulsifiable concentrate,YES,n/a,2021,lower CI was bigger than the LC50 estimate. Use higher CI to calculate SE.
126,wos941,dimethenamid-p,6.042,LC50,0.56,0.56,CI_95,3,5,"3 replicates, 5 individuals",Frontier,2.524,LC50,0.57,0.571,CI_95,3,5,"3 replicates, 5 individuals",four parameter logistic,wos941_c,wos941_3,Eisenia andrei,n/a,n/a,Clitellata ,Annelida ,Animalia,Terrestrial,adult,48,herbicide,NO,hermaphrodite,environmental,acute,20,n/a,n/a,n/a,YES,n/a,NO,Emulsifiable concentrate,YES,n/a,2021,lower CI was bigger than the LC50 estimate. Use higher CI to calculate SE.
127,wos941,prosulfocarb,12.464,LC50,5.207,5.207,CI_95,3,5,"3 replicates, 5 individuals",Filon,8.473,LC50,3.998,3.997,CI_95,3,5,"3 replicates, 5 individuals",four parameter logistic,wos941_d,wos941_4,Eisenia andrei,n/a,n/a,Clitellata ,Annelida ,Animalia,Terrestrial,adult,48,herbicide,NO,hermaphrodite,environmental,acute,20,n/a,n/a,n/a,YES,n/a,NO,Emulsifiable concentrate,YES,n/a,2021,lower CI was bigger than the LC50 estimate. Use higher CI to calculate SE.
128,wos253,azinphos methyl,31.6,LC50,1.7,1.7,CI_95,6,5,"6 replicates, 5 individuals",Gusathion,18.4,LC50,1,1,CI_95,6,5,"6 replicates, 5 individuals",probit,wos253_a,wos253_1,Xenopus laevis,african clawed frog,"Laboratory of Environmental Toxicology, Inonu University",Amphibia,Chordata,Animalia,Aquatic,embryo,96,insecticide,NO,n/a,environmental,acute,23,n/a,n/a,8 (stage),YES,n/a,NO,wettable powder,YES,n/a,2014,may be inaccurate. Read note for below effect size.
129,wos253,azinphos methyl,31.6,LC50,1.1,0.9,CI_95,6,5,"6 replicates, 5 individuals",Gusathion,30.4,LC50,2.1,1.8,CI_95,6,5,"6 replicates, 5 individuals",probit,wos253_b,wos253_2,Xenopus laevis,african clawed frog,"Laboratory of Environmental Toxicology, Inonu University",Amphibia,Chordata,Animalia,Aquatic,larvae,96,insecticide,NO,n/a,environmental,acute,23,n/a,n/a,46 (stage),YES,n/a,NO,wettable powder,YES,n/a,2014,"there was a nominal and measured LC50, which were very different. In the discussion the authors comment that the actual concentration of AzM in the formulation must be higher than the label indicates. This raises the question of if the result for embryos above, which only had a nominal LC50, is different for this reason, rather than diverging toxicities between the ai and formulation."
130,wos23,acetochlor,0.003,EC50,0.0003,0.0002,CI_95,3,1,3 replicate flasks per concentration,Harness,0.0022,EC50,0.0004,0.0004,CI_95,3,1,3 replicate flasks per concentration,"LL.2(), drc",wos23_a,wos23_1,Raphidocelis subcapitata,n/a,EBPI,Chlorophyceae,Chlorophyta,Plantae,Aquatic,n/a,72,herbicide,NO,n/a,environmental,acute,22.5,n/a,n/a,n/a,YES,n/a,NO,Emulsifiable concentrate,YES,n/a,2022,replicate number taken from minimum number required to adhere to OECD 2011 guidelines followed.
131,wos23,acetochlor,0.003,EC50,0.0003,0.0002,CI_95,3,1,3 replicate flasks per concentration,Surpass,0.002,EC50,-0.0002,0.0015,CI_95,3,1,3 replicate flasks per concentration,"LL.2(), drc",wos23_a,wos23_2,Raphidocelis subcapitata,n/a,EBPI,Chlorophyceae,Chlorophyta,Plantae,Aquatic,n/a,72,herbicide,NO,n/a,environmental,acute,22.5,n/a,n/a,n/a,YES,n/a,NO,Emulsifiable concentrate,YES,n/a,2022,replicate number taken from minimum number required to adhere to OECD 2011 guidelines followed. Negative lower CI for formulation.
132,wos23,S‐metolachlor,0.046,EC50,0.011,0.011,CI_95,3,1,3 replicate flasks per concentration,Dual II Magnum,0.051,EC50,0.008,0.005,CI_95,3,1,3 replicate flasks per concentration,"LL.2(), drc",wos23_b,wos23_3,Raphidocelis subcapitata,n/a,EBPI,Chlorophyceae,Chlorophyta,Plantae,Aquatic,n/a,72,herbicide,NO,n/a,environmental,acute,22.5,n/a,n/a,n/a,YES,n/a,NO,Emulsifiable concentrate,YES,n/a,2022,replicate number taken from minimum number required to adhere to OECD 2011 guidelines followed.
133,wos23,S‐metolachlor,0.046,EC50,0.011,0.011,CI_95,3,1,3 replicate flasks per concentration,Me‐Too‐Lachlor II,0.15,EC50,0.02,0.02,CI_95,3,1,3 replicate flasks per concentration,"LL.2(), drc",wos23_b,wos23_4,Raphidocelis subcapitata,n/a,EBPI,Chlorophyceae,Chlorophyta,Plantae,Aquatic,n/a,72,herbicide,NO,n/a,environmental,acute,22.5,n/a,n/a,n/a,YES,n/a,NO,liquid formulation,YES,n/a,2022,replicate number taken from minimum number required to adhere to OECD 2011 guidelines followed.
134,wos1565,copper sulfate,0.9,LC50,0.12,0.12,CI_95,6,5,"at least 6 replicates, 5 per container",Captain,>6.40,LC50,n/a,n/a,n/a,6,5,"at least 6 replicates, 5 per container",probit,wos1565_a,wos1565_1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Teleostei ,Chordata,Animalia,Aquatic,adult,6,algaecide,NO,n/a,environmental,acute,21,8.1,starved,1080,YES,132,YES,liquid formulation,YES,n/a,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
135,wos1565,copper sulfate,0.9,LC50,0.12,0.12,CI_95,6,5,"at least 6 replicates, 5 per container",Captain XTR,0.67,LC50,0.06,0.07,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_a,wos1565_2,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Teleostei ,Chordata,Animalia,Aquatic,adult,6,algaecide,NO,n/a,environmental,acute,21,8.1,starved,1080,YES,132,NO,liquid formulation,YES,n/a,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
136,wos1565,copper sulfate,0.6,LC50,0.05,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",Captain,1.04,LC50,0.14,0.16,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_b,wos1565_1,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Teleostei ,Chordata,Animalia,Aquatic,adult,24,algaecide,NO,n/a,environmental,acute,21,8.1,starved,1080,YES,132,NO,liquid formulation,YES,n/a,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
137,wos1565,copper sulfate,0.6,LC50,0.05,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",Captain XTR,0.48,LC50,0.05,0.05,CI_95,6,5,"at least 6 replicates, 5 per container",probit,wos1565_b,wos1565_2,Pimephales promelas,fathead minnow,Aquatic Biosystems Inc,Teleostei ,Chordata,Animalia,Aquatic,adult,24,algaecide,NO,n/a,environmental,acute,21,8.1,starved,1080,YES,132,NO,liquid formulation,YES,n/a,2014,"algaecide, captain was a chelator and, captain XTR was a chelator with a surfanctant."
