STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,JOURNAL,ABSTRACT,YEAR,VOLUME,LPAGES,UPAGES,DOI
404,Cecylia,not vetted,"ANTON, FA; LABORDA, E; DEARIZ, M",ACUTE TOXICITY OF THE HERBICIDE GLYPHOSATE TO FISH,CHEMOSPHERE,"The objective of this study was to evaluate the acute toxicity of three commercial products with the herbicide glyphosate as active ingredient on two species of freshwater fish: auratus L. , and Oncorhynchus mykiss W. Static bioassays were used for toxicity testing. The experimental concentrations of the commercial herbicides were more high than the recommended doses to control weeds, showing a very low toxicity on both species of fish, with the experimental conditions used. Probably the current use of this herbicide would not be too hazardous to these fish species.",1994,28,745,753,http://dx.doi.org/10.1016/0045-6535(94)90228-3
405,Cecylia,not vetted,"Jeschke, P",The unique role of halogen substituents in the design of modern agrochemicals,PEST MANAGEMENT SCIENCE,"The past 30 years have witnessed a period of significant expansion in the use of halogenated compounds in the field of agrochemical research and development. The introduction of halogens into active ingredients has become an important concept in the quest for a modern agrochemical with optimal efficacy, environmental safety, user friendliness and economic viability. Outstanding progress has been made, especially in synthetic methods for particular halogen-substituted key intermediates that were previously prohibitively expensive. Interestingly, there has been a rise in the number of commercial products containing 'mixed' halogens, e.g. one or more fluorine, chlorine, bromine or iodine atoms in addition to one or more further halogen atoms. Extrapolation of the current trend indicates that a definite growth is to be expected in fluorine-substituted agrochemicals throughout the twenty-first century. A number of these recently developed agrochemical candidates containing halogen substituents represent novel classes of chemical compounds with new modes of action. However, the complex structure-activity relationships associated with biologically active molecules mean that the introduction of halogens can lead to either an increase or a decrease in the efficacy of a compound, depending on its changed mode of action, physicochemical properties, target interaction or metabolic susceptibility and transformation. In spite of modern design concepts, it is still difficult to predict the sites in a molecule at which halogen substitution will result in optimal desired effects. This review describes comprehensively the successful utilisation of halogens and their unique role in the design of modern agrochemicals, exemplified by various commercial products from Bayer CropScience coming from different agrochemical areas. (C) 2009 Society of Chemical Industry",2010,66,10,27,http://dx.doi.org/10.1002/ps.1829
406,Cecylia,not vetted,"Rehakova, M; Cuvanova, S; Dzivak, M; Rimar, J; Gaval'ova, Z",Agricultural and agrochemical uses of natural zeolite of the clinoptilolite type,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,"The present paper deals with the agricultural and agrochemical uses of natural zeolite of the clinoptilolite type from the Nizny Hrabovec deposit in Eastern Slovakia. The structure of natural clinoptilolite is ideal for sorption and ion exchange processes. Due to its structure and properties this natural, inert and non-toxic material can be used as a slowly releasing carrier of fertilizer, as well as other agrochemically, pharmaceutically and biochemically active Compounds including disinfectants. Natural zeolite can also be used to improve physical properties of soils and for treatment of contaminated soils. It is also suitable-in very small amounts-as additive to animal feed. (c) 2005 Elsevier Ltd. All rights reserved.",2004,8,397,404,http://dx.doi.org/10.1016/j.cossms.2005.04.004
407,Cecylia,not vetted,"Jeschke, P",Propesticides and their use as agrochemicals,PEST MANAGEMENT SCIENCE,"The synthesis of propesticides is an important concept in design of modern agrochemicals with optimal efficacy, environmental safety, user friendliness and economic variability. Based on increasing knowledge of the biochemistry and genetics of major pest insects, weeds and agricultural pathogens, the search for selectivity has become an ever more important part of pesticide development and can be achieved by appropriate structural modifications of the active ingredient. Propesticides affect the absorption, distribution, metabolism and excretion parameters, which can lead to biological superiority of these modified active ingredients over their non-derivatised analogues. Various selected commercial propesticides testify to the successful utilisation of this concept in the design of agrochemicals. This review describes comprehensively the successful utilisation of propesticides and their role in syntheses of modern agrochemicals, exemplified by selected commercial products coming from different agrochemical areas. (C) 2015 Society of Chemical Industry",2016,72,210,225,http://dx.doi.org/10.1002/ps.4170
408,Cecylia,not vetted,"Garrido, EM; Lima, JLC; Delerue-Matos, CM; Brett, AMO",Electrochemical oxidation of bentazon at a glassy carbon electrode - Application to the determination of a commercial herbicide,TALANTA,"The electrochemical methods cyclic, differential pulse and square wave voltammetry were applied to develop an electroanalytical procedure for the determination of the herbicide bentazon in a commercial product, containing bentazon as the active ingredient, used to treat rice and corn crops. The oxidation mechanism is complex, consisting of an electrochemical step followed by chemical dimerization reaction of the products, which causes severe adsorption problems and consequent poisoning of the electrode surface. The effect of adding Triton surfactant is to enable determinations with good reproducibility to be carried out; the analytical conditions were studied and optimized. The limit of detection obtained was 10(-5) M. (C) 1998 Elsevier Science B.V. All rights reserved.",1998,46,1131,1135,http://dx.doi.org/10.1016/S0039-9140(97)00380-9
409,Cecylia,not vetted,"BOUHARMONT, P",EFFICACY OF SOME HERBICIDE TREATMENTS IN COFFEE PLANTATIONS IN CAMEROON,CAFE CACAO THE,"Five chemical weed control trials were carried out in Robusta and Arabica coffee plantations in Cameroon. Five glyphosate formulations were tested : Roundup (360), Roundup (120), Armada, Folar and Ricochet. Gramoxone, Basta, Touchdown (480 and 174) and Fusilade were also tested. The treatments were applied with a knapsack sprayer. Doses of approximately 60 1 of liquid per hectare were used. The efficacy of the products and their persistence were evaluated by observing the percentage mortality of the weed population (grasses and dicotyledons) and the percentage recovery of regrowth for two to five months following the treatment. For identical doses of active ingredient, the efficacy of all the glyphosate-based herbicides was equivalent. The efficacy of Touchdown 480 was equivalent to that of Roundup (360) for an identical dose of commercial product. Under these trial conditions Touchdown 174 and Fusilade were less effective. Gramoxone, a contact herbicide, showed satisfactory efficacy when used at the beginning of the dry season or on vegetation mainly composed of dicotyledons. Basta, another contact herbicide, showed poor efficacy in the wet season in a field invaded by grasses. It should be tested under the same conditions as Gramoxone.",1993,37,129,138,NA
410,Cecylia,not vetted,"Luo, YP; Jiang, LL; Wang, GD; Chen, Q; Yang, GF",Syntheses and herbicidal activities of novel triazolinone derivatives,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"Protoporphyrinogen oxidase (Protox, EC 1.3.3.4) has been identified as one of the most important action targets of herbicides. To search for novel Protox inhibitors, a series of title compounds 1, 2, and 3 were designed and synthesized by introducing three types of pharmacophores, cyclic imide, phenylurea, and (E)-methyl 2-methoxyimino-2-o-tolylacetate, into the scaffold of triazolinone. The bioassay results indicated that the resulting cyclic imide-type triazolinones 1 displayed much better herbicidal activities than phenylurea-type triazolinones 2. Most fortunately, compound 3, methyl 2-[3-methyl-(2-fluoro-4-chloro-5-ethylsulfonamidephenyl)-4,5-dihydro-5-oxo-1 H-1,2,4-triazol-4-yl]methyl-enephenyl-2-(E)-methoxyiminoacetate, was found to be the most promising candidate due to its comparable herbicidal activity at 75-150 g of active ingredient/ha with the commercial product sulfentrazone. On the basis of test results of herbicidal spectrum and crop selectivity, compound 3 could be developed as a postemergent herbicide used for the control of broadleaf weeds in rice fields.",2008,56,2118,2124,http://dx.doi.org/10.1021/jf703654g
411,Cecylia,not vetted,"Pentamwa, P; Kanaratanadilok, N; Nguyen, TKO",Indoor pesticide application practices and levels in homes of Bangkok Metropolitan Region,ENVIRONMENTAL MONITORING AND ASSESSMENT,"This study investigated the indoor application practices of pesticides in different homes located in urban, suburban, and rural areas of the Bangkok Metropolitan Region (BMR). A multi-stage stratified-judgmental sampling was applied to select 280 representative households in BMR for an in-depth questionnaire survey. We found about 71% of these households having mosquitoes as their main indoor nuisance. An inventory on the types and active ingredients was obtained through a shop-shelf survey. Among 22 available commercial products, 12 different active ingredients were observed with the pyrethroid containing pesticides are the most common. The stepwise regression analysis was conducted to reveal the statistical association between indoor levels of total pyrethriods (in the air and on the floor surface of homes) and the household application practices such as the overlap time period since the last application, application and storage locations, and frequency of applications, for instances.",2011,181,363,372,http://dx.doi.org/10.1007/s10661-010-1834-4
412,Cecylia,not vetted,"Pedersen, JA; Yeager, MA; Suffet, IH","Characterization and mass load estimates of organic, compounds in agricultural irrigation runoff",WATER SCIENCE AND TECHNOLOGY,"Investigations of agricultural chemicals in surface runoff typically target nutrients or specific pesticides; however, numerous other organic compounds are regularly applied to agricultural fields in pesticide formulations, irrigation water, soil amendments and fertilizers. Many of these compounds have toxicological significance. We conducted abroad spectrum analysis of surface runoff from individual irrigated agricultural fields in coastal southern California to characterize organic compounds amenable to analysis by gas chromatography-mass spectrometry and to estimate the mass flux of selected chemicals. Aqueous phase extracts contained several pesticides, as well as personal care product ingredients and pharmaceutically active compounds apparently derived from treated wastewater used for irrigation-Several compounds potentially associated with pesticide adjuvants were also present in aqueous phase extracts. Dissolved NOM constituents in water phase extracts included n-fatty acids, aliphatic alcohols and plant terpenoids. Tentatively identified compounds sorbed to suspended particles included pesticides, a fecal sterol, aliphatic and alicyclic hydrocarbons, aliphatic alcohols, aldehydes, and C(14) and C(16) n-fatty acids and fatty acid esters. Bicyclic and polycyclic aromatic hydrocarbons were identified in both aqueous and suspended p article phases. Constituent concentrations, including total suspended solids (TSS), varied over the course of the sampled events by up to an order of magnitude, and typically were not correlated with flow. Variation in sorbed organic compound concentrations often did not parallel those for TSS concentration. Mass load estimates were strongly influenced by the choice of sampling interval.",2002,45,103,110,http://dx.doi.org/10.2166/wst.2002.0215
413,Cecylia,not vetted,"MARLES, R; DURST, T; KOBAISY, M; SOUCYBREAU, C; ABOUZAID, M; ARNASON, JT; KACEW, S; KANJANAPOTHI, D; RUJJANAWATE, C; MECKES, M; LOZOYA, X","PHARMACOKINETICS, METABOLISM AND TOXICITY OF THE PLANT-DERIVED PHOTOXIN ALPHA-TERTHIENYL",PHARMACOLOGY & TOXICOLOGY,"The plant-derived insecticide, alpha-terthienyl was prepared by synthesis as 3',4'-di[C-14]-alpha-terthienyl for pharmacokinetic and metabolism studies. When administered orally to rats at a single dose of 50 mg/kg, excretion of the labelled material was maximal one day after administration and declined to no measurable quantities by day 4. Two metabolites [1,4-di(2'-thienyl)1,4-butadione and 2-2'-bithiophene-5-carboxylic acid] and trace quantities of the parent material were isolated from the urine and chemically identified. These represent the first metabolites of alpha-terthienyl identified. In pilot acute and subacute trials, unlabelled alpha-terthienyl was non-toxic when administered orally to rats as the ''ready to use'' formulation (0.1% active ingredient). The pure compound had an LD(50) of 110 mg/kg when administered intraperitoneally to rats. The results suggest that there is considerable separation with respect to mosquito larvae and non-target mammal sensitivity.",1995,77,164,168,http://dx.doi.org/10.1111/j.1600-0773.1995.tb01007.x
414,Cecylia,not vetted,"McNeill, ME; Graham, NB",Properties controlling the diffusion and release of water-soluble solutes from poly(ethylene oxide) hydrogels .4. Extended constant rate release from partly-coated spheres,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,"Spheres of poly(ethylene oxide) xerogel from 4-17 mm diameter were impregnated with the drug, proxyphylline, or the herbicide, 2,4-DNa and then partly coated with a water-impermeable elastomer. When placed in water the active additive was released over periods ranging from hours to weeks al a nearly constant rate. The effect of the hydrogel sphere dimensions and the window size through the elastomer, on water uptake and consequent release of the active agent were examined. These devices superficially possess a configuration similar to some commercial osmotic devices though the active-agent release from the devices of this paper is, in fact, diffusive and not osmotically driven. They appear to provide a very versatile and simple design allowing relatively constant release of the active agent over periods of hours to months merely by changing the device geometry.",1996,7,953,963,http://dx.doi.org/10.1163/156856296X00363
415,Cecylia,not vetted,"Blecha, IMZ; Csordas, BG; Aguirre, ADR; Cunha, RC; Garcia, MV; Andreotti, R",Analysis of Bm86 conserved epitopes: is a global vaccine against Cattle Tick Rhipicephalus microplus possible?,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,"The cattle tick Rhipicephalus microplus causes significant economic losses in agribusiness. Control of this tick is achieved mainly through the application of chemical acaricides, often resulting in contamination of animal food products and of the environment. Another major concern associated with acaricide use is the increasing reports of resistance of this tick vector against the active ingredients of many commercial products. An alternative control method is vaccination. However, the commercially available vaccine based on a protein homologous to Bm86 exhibits variations in efficacy relative to the different geographical locations. This study aimed to identify antigenic determinants of the sequences of proteins homologous to Bm86. Phylogenetic analyses were performed to determine the extent of divergence between different populations of R. microplus to identify the sequence that could be used as a universal vaccine against the multiple geographically distinct populations of R. microplus and related tick species. Considering the extensive sequence and functional polymorphism observed among strains of R. microplus from different geographical regions, we can conclude that it may be possible to achieve effective vaccination against these cattle ticks using a single universal Bm86-based antigen.",2018,27,267,279,http://dx.doi.org/10.1590/S1984-296120180056
416,Cecylia,not vetted,"Hall, R; Xue, AG",Effectiveness of fungicidal seed treatments applied to smooth or shrivelled soybean seeds contaminated by Diaporthe phaseolorum,PHYTOPROTECTION,"The effect of 11 fungicides on six lots of soybean (Glycine max) seed produced in Ontario in 1986-1987 and contaminated with Diaporthe phaseolorum var. caulivora (7-76%) and D. phaseolorum var. sojae (5-19%) was examined. Phomopsis longicolla also contaminated three of these seed lots at low rates (1-2%). The fungicide Vitaflo-280(R), a mix of carbathiin and thiram, increased soybean seedling emergence, plant stand at harvest and seed yield, and decreased the severity of stem infection when applied to three lots of discolored and shrivelled seed, but was ineffective when applied to three lots of bright and smooth seed. The effectiveness of th is product was not related to the incidence of contaminated seed. A further 10 fungicidal products were similarly effective and ineffective when applied to shrivelled and smooth seed lots, respectively. The most effective active ingredients were thiram, carbathiin, benomyl and captan, and the most effective commercial products available in Ontario were Vitaflo-280(R), Vitavax P(R), Thiram 320F(R), and Anchor(R). The maximum increase in seed yield was 60.5%.",1995,76,47,56,http://dx.doi.org/10.7202/706084ar
417,Cecylia,not vetted,"Reynoso, MMN; Seccacini, EA; Calcagno, JA; Zerba, EN; Alzogaray, RA","Toxicity, repellency and flushing out in Triatoma infestans (Hemiptera: Reduviidae) exposed to the repellents DEET and IR3535",PEERJ,"DEET and IR3535 are insect repellents present worldwide in commercial products; their efficacy has been mainly evaluated in mosquitoes. This study compares the toxicological effects and the behavioral responses induced by both repellents on the blood-sucking bug Triatoma infestans Klug (Hemiptera: Reduviidae), one of the main vectors of Chagas disease. When applied topically, the Median Lethal Dose (72 h) for DEET was 220.8 mu g/insect. Using IR3535, topical application of 500 mu g/insect killed no nymphs. The minimum concentration that produced repellency was the same for both compounds: 1,15 mu g/cm(2). The effect of a mixture DEET: IR3535 1: 1 was similar to that of their pure components. Flushing out was assessed in a chamber with a shelter containing groups of ten nymphs. The repellents were aerosolized on the shelter and the number of insects leaving it was recorded for 60 min. During that time, 0.006 g/m(3) of the positive control tetramethrin flushed out 76.7% of the nymphs, while 1.76 g/m(3) of DEET or IR3535 flushed out 30 and 0%, respectively. The concentrations required for both compounds to produce toxicity or flushing out are too high to have any practical applications. However, they showed a promising repellency. Additional research should be done to evaluate their possible use for personal protection against T. infestans bites.",2017,5,NA,NA,http://dx.doi.org/10.7717/peerj.3292
418,Cecylia,not vetted,"Moret, S; Sanchez, JM; Salvado, V; Hidalgo, M",The evaluation of different sorbents for the preconcentration of phenoxyacetic acid herbicides and their metabolites from soils,JOURNAL OF CHROMATOGRAPHY A,"A procedure using alkaline extraction, solid-phase extraction (SPE) and HPLC is developed to analyze the polar herbicides 2,4-dichlorophenoxyacetic acid (2,4-D) and 4-chloro-2-methylphenoxyacetic acid (MCPA) together with their main metabolites in soils. An ion-pairing HPLC method is used for the determination as it permits the baseline separation of these highly polar herbicides and their main metabolites. The use of a highly cross-linked polystyrene-divinylbenzene sorbent (PS-DVB) gives the best results for the analysis of these compounds. This sorbent allows the direct preconcentration of the analytes at the high pH values obtained after quantitative alkaline extraction of the herbicides from soil samples. Different parameters are evaluated for the SPE preconcentration step. The high polarity of the main analytes of interest (2,4-D and MCPA) makes it necessary to work at low flow rates (<= 0.5 mL min(-1)) in order for these compounds to be retained by the PS-DVB sorbent. A two stage desorption from the SPE sorbent is required to obtain the analytes in solvents that are appropriate for HPLC determination. A first desorption with a 50:50 methanol:water mixture elutes the most polar analytes (2,4-D, MCPA and 2CP). The second elution step with methanol permits the analysis of the other phenol derivatives. The humic and fulvic substances present in the soil are not efficiently retained by PS-DVB sorbents at alkaline pH's and so do not interfere in the analysis. This method has been successfully applied in the analysis of soil samples from a golf course treated with a commercial product containing esters of 2,4-D and MCPA as the active components. (c) 2005 Elsevier B.V. All rights reserved.",2005,1099,55,63,http://dx.doi.org/10.1016/j.chroma.2005.08.078
419,Cecylia,not vetted,"Castillo-Cadena, J; Tenorio-Vieyra, LE; Quintana-Carabia, AI; Garcia-Fabila, MM; Ramirez-San Juan, E; Madrigal-Bujaidar, E",Determination of DNA damage in floriculturists exposed to mixtures of pesticides,JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY,"The aim of the study was to determine possible DNA damage in floriculturists chronically exposed to pesticides. Leukocytes from 52 workers, 46 environmentally exposed, and 38 control individuals were evaluated with the comet assay. Serum from all individuals was also analyzed for pesticides using gas chromatography coupled to mass spectrometry. A statistically significant difference in DNA fragmentation in the pesticide exposed group compared to the other two groups (P < .001) was found. No differences between environmentally exposed and control individuals were detected. The statistical analysis showed no significant correlation between DNA damage and sex, age, drinking or smoking habits, as well as years of exposure. One or more pesticides were detected in 50% of the floriculturists, while in the rest of the individuals, a chemical related with the preparation of pesticides, such as additives, plasticizers, or solvents, was found. Our study shows that chronic exposure to pesticides produces DNA damage in floriculturists. It also suggests that this type of monitoring could be valuable in recommending preventive measures.",2006,NA,NA,NA,http://dx.doi.org/10.1155/JBB/2006/97896
420,Cecylia,not vetted,"Hofer, U; Muehlebach, M; Hole, S; Zoschke, A",Pinoxaden - for broad spectrum grass weed management in cereal crops,JOURNAL OF PLANT DISEASES AND PROTECTION,"Pinoxaden is a new grass active compound discovered by Syngenta Crop Protection AG, Basel, Switzerland. The innovative molecule belongs to the phenlypyrazolin chemistry and is being developed for global use in cereal crops. Pinoxaden is applied post-emergence at use rates of 30-60 g ai/ha and active against a wide range of important grass weed species (Alopecurus myosuroides, Apera spica-venti, Avena spp., Lolium spp., Phalaris spp. and Setaria spp.). Tolerance in key cereal crops - including both wheat and barley - is obtained by incorporating the proprietary safener cloquintocet-mexyl into an easy-to-use liquid formulation, which delivers maximal performance when used with a specially optimized adjuvant. Due to its high level of activity against most important grass weeds, its tolerance in wheat and barley crops combined with a wide application window from early to late post-emergence and rotational freedom to following crops, pinoxaden will set a new standard in grass weed control in cereals. Starting from 2006, pinoxaden will be introduced as AXIAL (R) into cereal markets globally.",2006,NA,989,995,NA
421,Cecylia,not vetted,"Sakai, K; Sakurai, R; Nohira, H",New resolution technologies controlled by chiral discrimination mechanisms,NOVEL OPTICAL RESOLUTION TECHNOLOGIES,"It is well known that optical resolution via crystallization is still a useful and practical method for obtaining enantiomerically pure compounds for both laboratory experiment and industrial production, although it is a classical technique discovered nearly 160 years ago. In particular, diastereomeric salt formation using a resolving agent (diastereomer method) has been well applied in various fields such as the pharmaceutical, agrochemical, and liquid crystal industries. Despite these affluent reported and patented examples, unfortunately no concrete theory to determine an optimum resolution condition has been devised, and only empirical procedures seem to provide a unique path in process development. In this chapter, three novel approaches for optical resolution via diastereomeric salt formation are presented: (1) chiral purity improvement by crystal habit modification with a tailored chiral additive; (2) a new approach for finding a suitable resolving agent based on the space filler concept; and (3) chirality control by dielectrically controlled resolution.",2007,269,199,231,http://dx.doi.org/10.1007/128-2006_097
422,Cecylia,not vetted,"Jimenez-Reyes, MF; Carrasco, H; Olea, AF; Silva-Moreno, E",NATURAL COMPOUNDS: A SUSTAINABLE ALTERNATIVE TO THE PHYTOPATHOGENS CONTROL,JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,"Fungi are the primary infectious agents in plants causing significant economic losses in agroindustry. Traditionally, these pathogens have been treated with different synthetic fungicides such as hydroxianilides, anilinopyrimidines, and azoles, to name a few. However, the indiscriminate use of these chemicals has increased fungi resistance in plants. Natural products have been researched as a control, and an alternative to these synthetic fungicides since they are not harmful to health and contribute to the environment caring. This review describes plants extracts, essential oils, and active compounds or secondary metabolites as antifungal agents both, in vitro and in vivo. Active compounds have been recently described as the best candidates for the control of phytopathogenic fungi. When metabolized by plants, these compounds concentrations rely on the environmental conditions and pathogens incidence. However, one issue regarding the direct application of these preformed compounds in plants touch upon their low persistence in the environment, and their even lower bioavailability than synthetic fungicides. Hence the challenge is to develop useful formulations based on natural products to increase the compounds solubility facilitating thus their application in the field while maintaining their properties.",2019,64,4459,4465,http://dx.doi.org/10.4067/S0717-97072019000204459
423,Cecylia,not vetted,"Bibiano, CS; Alves, DS; Freire, BC; Bertolucci, SKV; Carvalho, GA",Toxicity of essential oils and pure compounds of Lamiaceae species against Spodoptera frugiperda (Lepidoptera: Noctuidae) and their safety for the nontarget organism Trichogramma pretiosum (Hymenoptera: Trichogrammatidae),CROP PROTECTION,"The fall armyworm (FAW) Spodoptera frugiperda is a key pest of countless cultures of economic importance. FAW control is still mostly achieved by using synthetic chemicals and genetically modified plants, which can cause adverse effects on nontarget organisms. In this sense, secondary metabolites are an inexhaustible source of bioactive substances. Thus, this study investigated the insecticidal activity of essential oils (EOs) of plants of the Lamiaceae family against FAW. The EOs from Hyptis marrubioides (LD50 = 18.49 mu g/larvae) and Ocimum basilicum (LD50 = 38.21 mu g/larvae) were toxic to FAW in topical bioassays. The majority of compounds of H. marrubioides were identified as beta-thujone (41.50%) and alpha-thujone (15.82%), while for O. basilicum, linalool (35.68%) and 1,8cineole (16.03%) were the major substances. The pure compounds linalool (survival probability = 28.1%), alpha-thujone (survival probability = 24.5%) and 1,8-cineole (survival probability = 40.4%) were employed in a new bioassay; although all substances were toxic to FAW, the toxicity was less than that observed for EOs from H. marrubioides (survival probability = 9.5%) and O. basilicum (survival probability = 2.1%). These results suggest that there is more than one active substance in the EOs or else, there is synergism and/or an additive effect between the substances. With regard to the experiment conducted with the parasitoid Trichogramma pretiosum, the EOs from H. marrubioides and O. basilicum were classified as harmless according to the IOBC criteria, so they are safe for this parasitoid and have potential to be used in programs of integrated FAW pest management the natural enemy T. pretiosum.",2022,158,NA,NA,http://dx.doi.org/10.1016/j.cropro.2022.106011
424,Cecylia,not vetted,"Gamet-Payrastre, L; Lukowicz, C",Impact of pesticides mixtures,CAHIERS DE NUTRITION ET DE DIETETIQUE,"Pesticides are well thought out as risk factors for human health. The impact on consumers' health who are exposed to low doses mixtures, is still poorly defined. Pesticides are biologically active compounds having effects on various cellula targets and their combinations lead to a broad spectrum of responses: addition, synergy, antagonism and potentiation. When combined, pesticides can interact at different levels on specific targets linked to their chemical class (mechanism of toxicity) and/or on toxicokinetic level. In addition, the cocktail effect can be derived from an interaction network involving different cellular targets. The bases of the interaction between pesticides compounds are complex and the question still remains as to the notion of toxicity mechanisms (additive, synergistic etc) are well adapted to talk about the multiple interaction levels networks. (C) 2017 Societe francaise de nutrition. Published by Elsevier Masson SAS. All rights reserved.",2017,52,234,238,http://dx.doi.org/10.1016/j.cnd.2017.03.002
425,Cecylia,not vetted,"Park, JS; Seok, SJ; Gil, HW; Yang, JO; Lee, EY; Park, YH; Hong, SY",Clinical outcome of acute intoxication due to ingestion of auxin-like herbicides,CLINICAL TOXICOLOGY,"Background. The human toxicity of synthetic auxin analogue herbicides has not been extensively studied. Methods. Clinical outcome was assessed from medical records of 17 patients who had intentionally ingested auxin pesticides with active ingredients like dicamba, triclopyr, MCPA or mecoprop. The patients were interviewed after discharge to follow outcome (interval 2 to 56 months). Result. One patient who had ingested 500 mL of a mecoprop product died of hypotension and respiratory failure 36 hours after hospital admission. The other 16 patients recovered and were discharged by hospital day 28. After discharge, four patients died from causes not related to herbicide intoxication. In the 12 surviving patients, no long-term effects were reported. Conclusion. Human toxicity of synthetic auxins appears relatively benign with conservative treatment. However, when the amount ingested is above several hundred milliliters of commercial product, especially in combination of mecoprop with other intoxicants (e.g. alcohol), shock with respiratory failure may develop and lead to death.",2011,49,815,819,http://dx.doi.org/10.3109/15563650.2011.614248
426,Cecylia,not vetted,"Majumder, S; Kaushik, P; Rana, VS; Sinha, P; Shakil, NA",Amphiphilic polymer based nanoformulations of mancozeb for management of early blight in tomato,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,"Controlled release (CR) nanoformulations of Mancozeb (Manganese-zinc double salt of N, N-bisdithiocarbamic acid), a protective fungicide, have been developed using poly (ethylene glycols) (PEGs) based functionalized amphiphilic copolymers and evaluated for the management of early blight in tomato. During the field experiment, it was observed that number of infected leaflets/plants were less in developed formulation treated plants as compared to commercial products. Number of infected leaflets per plant was 2.40-4.60 and the number of fruits per plant were 6.40-9.00 at 50 mg L-1, whereas at 100 mg L-1, the corresponding numbers were 2.10-4.10 and 6.30-9.10 respectively. These formulations can be used to optimize the release of Mancozeb to achieve disease control for the desired period depending upon the matrix of the polymer used. Importantly, sufficient amount of active ingredient remains available for a reasonable period of time after application leading to reduced number of applications of pesticide.",2020,55,501,507,http://dx.doi.org/10.1080/03601234.2020.1724750
427,Cecylia,not vetted,"Juliatti, FC; Polloni, LC; de Morais, TP; Zacarias, NRS; Silva, EA; Juliatti, BCM","SENSITIVITY OF Phakopsora pachyrhizi POPULATIONS TO DITHIOCARBAMATE, CHLORONITRILE, TRIAZOLE, STROBILURIN, AND CARBOXAMIDE FUNGICIDES",BIOSCIENCE JOURNAL,"Asian soybean rust (ASR), caused by the phytopathogen Phakopsora pachyrhizi Sydow & Sydow, is a worldwide distributed fungal disease responsible for causing damages in soybean crops [Glycine max (L.) Merril] of up to 90% of its productive potential. So far, due to limited availability of resistant varieties, fungicide application is the most widely used strategy for ASR control, although some populations of the pathogen have shown reduced sensitivity to certain active ingredients. Several methods have been described to measure the sensitivity of a fungus to a given fungicide, or even the fungitoxicity of a chemical. The most used tests are spore germination in wateragar medium and evaluation of disease severity in detached soybean leaves. Experiments were carried out with Brazilian populations of the pathogen: one from Uberlandia - MG and the other from Chapadao do Sul - MS, following the mentioned methodologies. The results showed the reduction of benzovindiflupyr efficiency in relation to spore germination and disease severity for the MS population, as also did fluxapyroxad, cyproconazole, and tebuconazole. Multisite fungicides (chlorothalonil, copper oxychloride, and mancozeb) may be used in the management of ASR resistance in the fields of Brazil associated with strobilurins, triazoles, and carboxamides. The efficiency of the main active ingredient tested depends on the formulation and others molecules used in the commercial product.",2017,33,933,943,NA
428,Cecylia,not vetted,"Liebisch, A; Reimann, U",The efficacy of imidacloprid against flea infestation on dogs compared with three other topical preparations,CANINE PRACTICE,"New effective, long-lasting and easy-to-apply insecticides for control of fleas in pets are required in veterinary practice to overcome the increasing flea problems worldwide. Imidacloprid is a new active ingredient with high activity against fleas. The objective of this study was to compare the efficacy of the recommended dosage and application of tree commercial products wit the new compound imidacloprid against fleas in dogs The study was conducted in accordance with the code of Clinical Trials on Veterinary Medical Products of the EU. Dogs (25 Beagles) were allocated to equal groups of five animals in which each animal was experimentally infested with 100 adult Ctenocepalides felis twice before and six times posttreatment at weekly intervals. dogs in four groups were treated with imidacloprid, fipronil, permethrin and diazinon. A fifth group of dogs remained as untreated control. Fleas were counted at 24, 48, and 72 hours after reinfestation on dogs by using a comb. An immediate (24 hours) 100% killing effect was seen in all treated animals. In dogs, 100% efficacy was observed in all treatment groups until the evaluation after the third reinfestation. After the reinfestation three weeks post treatment (pt), only those dogs treated with imidacloprid and with diazinon were still free of fleas. On day 37 pt, the reduction was 55% with permethrin, 83% with fipronil, 86% with diazinon, and 99.8% with youdacloprid. The trial results demonstrate the high efficacy of imidacloprid against fleas in dogs when compared to other commercial products. The excellent knock-down effect and the long lasting 100% control of fleas, together with the advantages of safety and simple application make the product a useful tool for flea control.",2000,25,8,11,NA
