"","STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","TITLE","JOURNAL","ABSTRACT","YEAR","VOLUME","LPAGES","UPAGES","DOI","MORTALITY_SURVIVAL_ORGANISM_VIABILITY","LD50_WITH_CI_AVAILABLE","DATA_REQUEST_REQUIRED","OTHER_ENDPOINTS_STUDIED","COMMENTS"
"195","scopus347","Guy","YES","Esimbekova E.N.; Kalyabina V.P.; Kopylova K.V.; Lonshakova-Mukina V.I.; Antashkevich A.A.; Torgashina I.G.; Lukyanenko K.A.; Nemtseva E.V.; Kratasyuk V.A.","enzyme inhibition based assay to estimate the contribution of formulants to the effect of commercial pesticide formulations","International Journal of Molecular Sciences","Pesticides can affect the health of individual organisms and the function of the entire ecosystem. Therefore, thorough assessment of the risks associated with the use of pesticides is a high-priority task. An enzyme inhibition-based assay is used in this study as a convenient and quick tool to study the effects of pesticides at the molecular level. The contribution of formulants to toxicological properties of the pesticide formulations has been studied by analyzing effects of 7 active ingredients of pesticides (AIas) and 10 commercial formulations based on them (AIfs) on the function of a wide range of enzyme assay systems differing in complexity (single-, coupled, and three-enzyme assay systems). Results have been compared with the effects of AIas and AIfs on bioluminescence of the luminous bacterium Photobacterium phosphoreum. Mostly, AIfs produce a considerably stronger inhibitory effect on the activity of enzyme assay systems and bioluminescence of the luminous bacterium than AIas, which confirms the contribution of formulants to toxicological properties of the pesticide formulation. Results of the current study demonstrate that “inert” ingredients are not ecotoxicologically safe and can considerably augment the inhibitory effect of pesticide formulations; therefore, their use should be controlled more strictly. Circular dichroism and fluorescence spectra of the enzymes used for assays do not show any changes in the protein structure in the presence of commercial pesticide formulations during the assay procedure. This finding suggests that pesticides produce the inhibitory effect on enzymes through other mechanisms. © 2023 by the authors.",2023,"24","","","10.3390/ijms24032268","YES","NO","YES","n/a","used a bioluminescent bacteria. No CIs quoted."
"197","wos654","Guy","YES","Gundel, SD; dos Reis, TR; Copetti, PM; Favarin, FR; Sagrillo, MR; da Silva, AS; Segat, JC; Baretta, D; Ourique, AF","evaluation of cytotoxicity genotoxicity and ecotoxicity of nanoemulsions containing mancozeb and eugenol","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","Mancozeb is a fungicide widely used in agriculture, mostly against the pathogen Glomerella cingulata responsible for the rot of ripe grape, but presents high toxicity. Strategies are sought to reduce the toxicity of this fungicide and alternative treatments are welcome. An alternative could be the use of clove oil, which has Eugenol as its major compound, and has antifungal potential against G. cingulata, however, Eugenol is susceptible to degradation processes which may compromise its efficacy. The nanoencapsulation of Mancozeb and Eugenol is a possible strategy to overcome the limitations of toxicity, solubility and instability of these compounds. Therefore, the objective of this study is to develop nanoemulsions containing Mancozeb (0.1 mg/mL) and Eugenol (33 mg/mL), isolated or associated, and evaluate the safety of these formulations through cytotoxicity, genotoxicity and ecotoxicity tests. Nanoemulsions were developed by the spontaneous emulsification method, cytotoxicity and genotoxicity were evaluated in healthy human cells through MTT, Dichlorofluorescein diacetate and Picogreen tests, and ecotoxicity assessment was carried out using the chronic toxicity test in springtails. After preparation, the physicochemical characterization of the nanoemulsions were performed which presented mean particle size between 200 and 300 nm, polydispersity index less than 0.3, negative zeta potential and acid pH. The nanoencapsulation was able to avoid the reduction of the cell viability caused by Mancozeb, while Eugenol was shown to be safe for cell use in both free and nanostructured forms, however the association of the two active compounds showed toxicity in the higher doses of Mancozeb. In the ecotoxicity tests, both free Mancozeb and Eugenol forms presented high toxic potential for soil, whereas the nanoencapsulation of these compounds did not cause a reduction in number of springtails. Therefore, from the tests performed, it was possible to observe that nanoencapsulation of Mancozeb and Eugenol is a safe alternative for the application of these compounds mainly in agriculture.",2019,"169","207","215","http://dx.doi.org/10.1016/j.ecoenv.2018.11.023","YES","NO","YES","REPRODUCTION","For springtails the reproduction test is standard. Did not calculate EC50 but could do with data, although they wouldn't be great as only 4 concentrations."
"200","wos301","Guy","YES","Buczek, SB; Archambault, JM; Cope, WG; Heilman, MA","evaluation of juvenile freshwater mussel sensitivity to multiple forms of florpyrauxifen benzyl","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","ProcellaCOR (R)(active ingredient [ai], florpyrauxifen-benzyl) is an aquatic herbicide registered for use in 2018 for managing invasive and nuisance macrophyte species. Registration studies evaluating its acute toxicity revealed a favorable environmental profile; however, prior to this study, no information existed on the toxicity of florpyrauxifen-benzyl to native freshwater mussels (Family Unionidae), one of the most sensitive and imperiled faunal groups globally. We followed standard acute (96 h) toxicity test guidelines and exposed juvenile Fatmucket (Lampsilis siliquoidea) and Eastern Lampmussel (Lampsilis radiata) to the following formulations or compounds: ProcellaCOR SC and EC formulations, technical grade active ingredient (TGAI, florpyrauxifen-benzyl), and an analytical-grade sample of the weaker florpyrauxifen acid (FA). In all tests, the estimated median lethal concentrations to produce 50% mortality (LC50) were greater than the highest concentration tested of each formulation or compound. The no observable adverse effect concentrations (NOAEC, based on analytical recoveries measured at the highest concentration tested where no toxicity was observed) were TGAI = 26 mu g/L, FA = 100,000 mu g/L, ProcellaCOR (R) SC = 193 mu g ai/L ProcellaCOR (R) EC = 585 mu g ai/L and the NOAEC values for the registered commercial formulation products (ProcellaCOR (R) SC and ProcellaCOR (R) EC) were orders of magnitude greater (3.9 x and 11.7 x, respectively) than the maximum application rate (50 mu g/L). Our results show that the herbicide formulations and compounds tested were not acutely toxic to juveniles of these two species of freshwater mussels, indicating minimal risk of short-term exposure from florpyrauxifen-benzyl applications in the environment for aquatic weed control. However, potential chronic or sublethal effects remain uncharacterized and warrant additional investigation.",2020,"105","588","594","http://dx.doi.org/10.1007/s00128-020-02971-1","YES","YES","NO","n/a","everything was non-toxic, think about how to include this."
"201","wos1451","Guy","YES","Bahreini, R; Nasr, M; Docherty, C; de Herdt, O; Muirhead, S; Feindel, D","evaluation of potential miticide toxicity to varroa destructor and honey bees apis mellifera under laboratory conditions","SCIENTIFIC REPORTS","The honey bee, Apis mellifera L., is the world's most important managed pollinator of agricultural crops, however, Varroa mite, Varroa destructor Anderson and Trueman, infestation has threatened honey bee survivorship. Low efficacy and development of Varroa mite resistance to currently used Varroacides has increased the demand for innovative, effective treatment tool options that exhibit high efficacy, while minimizing adverse effects on honey bee fitness. In this investigation, the toxicity of 16 active ingredients and 9 formulated products of registered miticides for use on crops from 12 chemical families were evaluated in comparison to amitraz on Varroa mites and honey bees using contact surface and topical exposures. It was found that fenpyroximate (93% mortality), spirotetramat (84% mortality) and spirodiclofen (70% mortality) had greater toxicity to Varroa mites, but high dose rates caused high bee mortality (>60%). With this in mind, further research is needed to investigate other options to minimize the adverse effect of these compounds on bees. The results also found high toxicity of fenazaquin and etoxazole against Varroa mites causing 92% and 69% mortality, respectively; and were found to be safe on honey bees. Collectively, it is recommended that fenazaquin and etoxazole are candidates for a potential Varroacide and recommended for further testing against Varroa mites at the colony level.",2020,"10",NA,NA,"http://dx.doi.org/10.1038/s41598-020-78561-2","YES","NO","YES","n/a","clearly calculated CIs but did not report them. Request. "
"206","wos291","Guy","YES","Simoes, T; Novais, SC; Natal-da-Luz, T; Leston, S; Rosa, J; Ramos, F; Pouca, ASV; Freitas, A; Barbosa, J; Roelofs, D; Sousa, JP; van Straalen, NM; Lemos, MFL","fate and effects of two pesticide formulations in the invertebrate folsomia candida using a natural agricultural soil","SCIENCE OF THE TOTAL ENVIRONMENT","Degradation rates of two widely used pesticides were assessed, and acute and chronic effects on a standard invertebrate species investigated. An herbicide (Montana (R)) and fungicide (Bravo500 (R)) formulations were investigated and results were compared to the isolated active substances of each formulation (glyphosate and chlorothalonil, respectively). Tests were performed using the invertebrate Folsomia candida as test species and an agricultural natural soil. Degradation rate tests were determined under aerobic conditions at 20 +/- 2 degrees C, using an ecologically relevant concentration of 5 mg (a.i.) kg(-1) of soil for both chemicals. Results demonstrated degradation half-lives (DT50) of 2.2 days forMontana (R) and 2.8 days when pure glyphosate was tested. Values of 1.1 and 2.9 days were registered for Bravo500 (R) and its active substance chlorothalonil, respectively. There were no effects on survival for the tested concentrations of both forms of the herbicide (up to 17.3 mg kg(-1)). However, reproduction was affected, but only by the herbicide formulation, with an estimated EC50 value of 4.63 mg (a.i.) kg(-1). Effects were most unlikely related to glyphosate. For chlorothalonil, both tested forms affected survival and reproduction. The estimated LC50 values were 117 mg (a.i.) kg(-1) and 73.5 mg (a.i.) kg(-1), and the EC50 41.3 mg (a.i.) kg(-1) and 14.9 mg kg(-1) for the formulation and the active ingredient, respectively. The effects of the active ingredient were significantly stronger, indicating the major influence of the active substance in the effects caused also by the formulation. Overall results demonstrate the importance of evaluating the effects of the formulated chemicals, as they are applied in the field, and not only their isolated active ingredients. (C) 2019 Elsevier B.V. All rights reserved.",2019,"675","90","97","http://dx.doi.org/10.1016/j.scitotenv.2019.04.191","YES","YES","NO","REPRODUCTION","chlorothalonil data is fine. No effect for either gly or montana but tested over different concentration ranges so can't use it. "
"233","nagyrefs5","Guy","YES","Nielsen, LN; Roager, HM; Casas, ME; Frandsen, HL; Gosewinkel, U; Bester, K; Licht, TR; Hendriksen, NB; Bahl, MI","glyphosate has limited short term effects on commensal bacterial community composition in the gut environment due to sufficient aromatic amino acid levels","ENVIRONMENTAL POLLUTION","Recently, concerns have been raised that residues of glyphosate-based herbicides may interfere with the homeostasis of the intestinal bacterial community and thereby affect the health of humans or animals. The biochemical pathway for aromatic amino acid synthesis (Shikimate pathway), which is specifically inhibited by glyphosate, is shared by plants and numerous bacterial species. Several in vitro studies have shown that various groups of intestinal bacteria may be differently affected by glyphosate. Here, we present results from an animal exposure trial combining deep 16S rRNA gene sequencing of the bacterial community with liquid chromatography mass spectrometry (LC-MS) based metabolic profiling of aromatic amino acids and their downstream metabolites. We found that glyphosate as well as the commercial formulation Glyfonova (R) 450 PLUS administered at up to fifty times the established European Acceptable Daily Intake (ADI = 0.5 mg/kg body weight) had very limited effects on bacterial community composition in Sprague Dawley rats during a two-week exposure trial. The effect of glyphosate on prototrophic bacterial growth was highly dependent on the availability of aromatic amino acids, suggesting that the observed limited effect on bacterial composition was due to the presence of sufficient amounts of aromatic amino acids in the intestinal environment. A strong correlation was observed between intestinal concentrations of glyphosate and intestinal pH, which may partly be explained by an observed reduction in acetic acid produced by the gut bacteria. We conclude that sufficient intestinal levels of aromatic amino acids provided by the diet alleviates the need for bacterial synthesis of aromatic amino acids and thus prevents an antimicrobial effect of glyphosate in vivo. It is however possible that the situation is different in cases of human malnutrition or in production animals. (C) 2017 The Authors. Published by Elsevier Ltd.",2018,"233","364","376","10.1016/j.envpol.2017.10.016","YES","NO","YES","METABOLOMICS","Request data and restructure figure 1. E.coli."
"236","scopus2687","Guy","YES","Demir E.; Kansız S.; Doğan M.; Topel Ö.; Akkoyunlu G.; Kandur M.Y.; Turna Demir F.","hazard assessment of the effects of acute and chronic exposure to permethrin copper hydroxide acephate and validamycin nanopesticides on the physiology of drosophila: novel insights into the cellular internalization and biological effects","International Journal of Molecular Sciences","New insights into the interactions between nanopesticides and edible plants are required in order to elucidate their impacts on human health and agriculture. Nanopesticides include formulations consisting of organic/inorganic nanoparticles. Drosophila melanogaster has become a powerful model in genetic research thanks to its genetic similarity to mammals. This project mainly aimed to generate new evidence for the toxic/genotoxic properties of different nanopesticides (a nanoemulsion (permethrin nanopesticides, 20 ± 5 nm), an inorganic nanoparticle as an active ingredient (copper(II) hydroxide [Cu(OH)2] nanopesticides, 15 ± 6 nm), a polymer-based nanopesticide (acephate nanopesticides, 55 ± 25 nm), and an inorganic nanoparticle associated with an organic active ingredient (validamycin nanopesticides, 1177 ± 220 nm)) and their microparticulate forms (i.e., permethrin, copper(II) sulfate pentahydrate (CuSO4·5H2O), acephate, and validamycin) widely used against agricultural pests, while also showing the merits of using Drosophila—a non-target in vivo eukaryotic model organism—in nanogenotoxicology studies. Significant biological effects were noted at the highest doses of permethrin (0.06 and 0.1 mM), permethrin nanopesticides (1 and 2.5 mM), CuSO4·5H2O (1 and 5 mM), acephate and acephate nanopesticides (1 and 5 mM, respectively), and validamycin and validamycin nanopesticides (1 and 2.5 mM, respectively). The results demonstrating the toxic/genotoxic potential of these nanopesticides through their impact on cellular internalization and gene expression represent significant contributions to future nanogenotoxicology studies. © 2022 by the authors.",2022,"23","","","10.3390/ijms23169121","YES","YES","NO","MORPHOLOGY/BEHAVIOUR/OXIDATIVE STRESS","n/a"
"237","wos353","Guy","YES","Tisler, T; Jemec, A; Mozetic, B; Trebse, P","hazard identification of imidacloprid to aquatic environment","CHEMOSPHERE","The use of a very effective insecticide against sucking pests, neonicotinoid imidacloprid, has been increasing extensively. For this reason elevated concentrations are expected in aquatic environment. Despite this fact, there is still a lack of data available on its possible risk for the environment. In this study, the potential hazards of imidacloprid and its commercial product Confidor SL 200 to aquatic environment were identified by the acute and chronic toxicity assessment using bacteria Vibrio fischeri, algae Desmodesmus subspicatus, crustacean Daphnia magna, fish Danio, rerio and the ready biodegradability determination. We found out, that imidacloprid was not highly toxic to tested organisms in comparison to some other environmental pollutants tested in the same experimental set-up. Among the organisms tested, water flea D. magna proved to be the most sensitive species after a short-term (48 h EC50 = 56.6 mg L-1) and long-term exposure (21 d NOEC = 1.25 mg L-1). On the contrary, the intensified toxicity of Confidor SL 200 in comparison to analytical grade imidacloprid was observed in the case of algae and slight increase of its toxicity was detected testing daphnids and fish. The activities of cholinesterase, catalase and glutathione S-transferase of daphnids were not early biomarkers of exposure to imidacloprid and its commercial product. Imidacloprid was found persistent in water samples and not readily biodegradable in aquatic environment. Due to increased future predicted use of commercial products containing imidacloprid and the findings of this work, we recommend additional toxicity and biodegradability studies of other commercial products with imidacloprid as an active constituent. (C) 2009 Elsevier Ltd. All rights reserved.",2009,"76","907","914","http://dx.doi.org/10.1016/j.chemosphere.2009.05.002","YES","YES","NO","OXIDATIVE STRESS","n/a"
"244","coxref13","Guy","YES","Everett, KDE; Dickerson, HW","ichthyophthirius multifiliis and tetrahymena thermophila tolerate glyphosate but not a commercial herbicidal formulation","BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","",2003,"70","731","738","10.1007/s00128-003-0044-y","YES","NO","YES","n/a","LC50 not reported but could be calculated."
"252","wos1443","Guy","YES","Rodrigues, LD; Costa, GG; Tha, EL; da Silva, LR; de Oliveira, R; Leme, DM; Cestari, MM; Grisolia, CK; Valadares, MC; de Oliveira, GAR","impact of the glyphosate based commercial herbicide its components and its metabolite ampa on non target aquatic organisms","MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS","Glyphosate (GLY) is the active ingredient of several herbicide formulations widely used to control weeds in agricultural and non-agricultural areas. Due to the intensive use of GLY-based herbicides and their direct application on soils, some of their components, including the active ingredient, may reach the aquatic environment through direct run-off and leaching. The present study assessed the acute toxicity and genotoxicity of the GLY-based formulation Atanor 48 (ATN) and its major constituents GLY, surfactant polyethoxylated tallow amine (POEA), as well as the main metabolite of GLY aminomethylphosphonic acid (AMPA) on non-target aquatic organisms. The toxic effects of these chemicals were evaluated in the fish embryo acute toxicity test with zebrafish (Danio rerio), while genotoxic effects were investigated in the comet assays with cells from zebrafish larvae and rainbow trout gonad-2 (RTG-2). GLY and AMPA caused no acute toxic effect, while ATN and POEA induced significant lethal effects in zebrafish (LC50-96 h 76.50 mg/L and 5.49 mg/L, respectively). All compounds were genotoxic in comet experiments with zebrafish larvae (LOEC 1.7 mg/L for GLY, ATN, AMPA and 0.4 mg/L for POEA). Unlike in vivo, only POEA induced DNA damage in RTG-2 cells (LOEC 1.6 mg/L), suggesting that it is a direct acting genotoxic agent. In summary, these data indicate that the lethal effects on zebrafish early-life stages can be ranked in the following order from most to least toxic: surfactant POEA > formulation ATN > active ingredient GLY approximate to metabolite AMPA. Genotoxic effects were observed in both RTG-2 cells (only POEA) and zebrafish (all test compounds) with the lowest tested concentrations. Therefore, it is important to evaluate different toxicological endpoints as well as use different non-target organisms to predict the hazards of GLY-based formulations and their components and breakdown product to aquatic biota.",2019,"842","94","101","http://dx.doi.org/10.1016/j.mrgentox.2019.05.002","YES","NO","YES","GENOTOXICITY","calculated CIs but didn't report them."
"255","wos24","Guy","YES","van de Merwe, JP; Neale, PA; Melvin, SD; Leusch, FDL","in vitro bioassays reveal that additives are significant contributors to the toxicity of commercial household pesticides","AQUATIC TOXICOLOGY","Pesticides commonly used around households can contain additives of unknown concentrations and toxicity. Given the likelihood of these chemicals washing into urban waterways, it is important to understand the effects that these additives may have on aquatic organisms. The aim of this study was to compare the toxicity of commercially available household pesticides to that of the active ingredient(s) alone. The toxicity of five household pesticides (three herbicides and two insecticides) was investigated using a bacterial cytotoxicity bioassay and an algal photosynthesis bioassay. The commercial products were up to an order of magnitude more toxic than the active ingredient(s) alone. In addition, two commercial products with the same listed active ingredients in the same ratio had a 600 x difference in potency. These results clearly demonstrate that additives in commercial formulations are significant contributors to the toxicity of household pesticides. The toxicity of pesticides in aquatic systems is therefore likely underestimated by conventional chemical monitoring and risk assessment when only the active ingredients are considered. Regulators and customers should require more clarity from pesticide manufacturers about the nature and concentrations of not only the active ingredients, but also additives used in commercial formulations. In addition, monitoring programmes and chemical risk assessments schemes should develop a structured approach to assessing the toxic effects of commercial formulations, including additives, rather than simply those of the listed active ingredients.",2018,"199","263","268","http://dx.doi.org/10.1016/j.aquatox.2018.03.033","YES","YES","NO","n/a","bacteria and algae"
"267","wos290","Guy","YES","Mansano, AS; Moreira, RA; Dornfeld, HC; Freitas, EC; Vieira, EM; Daam, MA; Rocha, O; Seleghim, MHR","individual and mixture toxicity of carbofuran and diuron to the protozoan paramecium caudatum and the cladoceran ceriodaphnia silvestrii","ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","The toxicity of the insecticide carbofuran and herbicide diuron (individually and in mixture) to the invertebrates Paramecium caudatum and Ceriodaphnia silvestrii was evaluated. Acute and chronic toxicity tests were carried out with the diuron and carbofuran active ingredients and their commercial products, Diuron Nortox (R) 500 SC and Furadan (R) 350 SC, respectively. Individual toxicity tests showed that C. silvestrii was more sensitive to both carbofuran and diuron than P. caudatum. In single exposures, both pesticides caused adverse effects to C. silvestrii in environmentally relevant concentrations (48 h EC50 = 0.001 mg L-1 and 8 d LOEC = 0.00038 mg L-1 for formulated carbofuran; 8 d LOEC < 0.05 mg L-1 for formulated diuron). For P. caudatum, carbofuran and diuron in single exposures were only slightly toxic (24 h IC50 = 5.1 mg L-1 and 6.9 mg L-1 for formulated carbofuran and diuron, respectively). Acute and chronic exposures to diuron and carbofuran mixtures caused significant deviations of the toxicity predicted by the Concentration Addition and Independent Action reference models for both test species. For the protozoan P. caudatum, a dose-dependent deviation was verified for mortality, with synergism caused mainly by carbofuran and antagonism caused mainly by diuron. For protozoan population growth, however, an antagonistic deviation was observed when the active ingredient mixtures were tested. In the case of C. silvestrii, antagonism at low concentrations and synergism at high concentrations were revealed after acute exposure to active ingredient mixtures, whereas for reproduction an antagonistic deviation was found. Commercial formulation mixtures presented significantly higher toxicity than the active ingredient mixtures. Our results showed that carbofuran and diuron interact and cause different toxic responses than those predicted by the individually tested compounds. Their mixture toxicity should therefore be considered in risk assessments as these pesticides are likely to be present simultaneously in edge-of-field waterbodies.",2020,"201",NA,NA,"http://dx.doi.org/10.1016/j.ecoenv.2020.110829","YES","YES","NO","n/a","unicellular ciliates"
"276","wos2008","Guy","YES","Smith, DA; Hallett, SG","interactions between chemical herbicides and the candidate bioherbicide microsphaeropsis amaranthi","WEED SCIENCE","The fungal plant pathogen Microsphaeropsis amaranthi is virulent against a number of key weeds in the Amaranthaceae, including common waterhemp, and is under investigation as a bioherbicide. Common waterhemp has become a key weed in midwestern crop production systems and is a good target for a bioherbicide that could be integrated into weed management systems. We investigated the direct effects of a range of chemical herbicides and adjuvants upon conidia of M. amaranthi and found that many herbicides and most adjuvants were strongly inhibitory to germination. On the other hand, M. amaranthi was compatible with a selection of post-emergence herbicides commonly used in midwestern weed management systems, including carfentrazone, chloransulam, and imazethapyr. Most glyphosate products suppressed or abolished germination of M. amaranthi conidia, but by testing adjuvants commonly used in glyphosate products and technical-grade glyphosate salts, it was revealed that this inhibition was due to formulation additives and not the active ingredient. When glyphosate and conidia of M. amaranthi were sprayed onto common waterhemp seedlings, the herbicide predisposed plants to infection by M amaranthi. When M. amaranthi was applied 1 to 3 d after glyphosate, the glyphosate rate required to control common waterhemp was reduced by half Similar results were observed on clones propagated from a common waterhemp plant resistant to glyphosate. When M. amaranthi was applied to seedlings 2 d before glyphosate, the efficacy of the herbicide was reduced. These findings demonstrate that positive interactions between herbicides and M. amaranthi exist but reveal practical difficulties that may limit the integration of the strategy in the field.",2006,"54","532","537","http://dx.doi.org/10.1614/WS-05-102R1.1","YES","NO","YES","n/a","frond germination of a fungi biopesticide. Questionable relevance."
"282","wos194","Guy","YES","Dinamarca, VM; Hidalgo, ME; Cavieres, MF","lack of effects of 24 dichlorophenoxyacetic acid administration on markers of oxidative stress during early pregnancy in mice","TOXICOLOGY","Induction of oxidative stress by 2,4-dichlorophenoxyacetic acid (2,4-D) both as a pure compound and in commercial formulation was investigated during early pregnancy in mice. Pregnant animals were exposed to increasing doses of the herbicide (0.01, 0.1 and 100 mg/kg/d) during gestation days 0-9, after which animals were euthanized and their blood analyzed for catalase activity, thiobarbituric acid reactive substances (TBARs) and total antioxidant capacity (TAC). Number of corpora lutea and uterine implantations and resorptions were also determined. Herbicide exposure did not cause any overt signs of maternal toxicity at any of the doses administered; neither did it cause an effect on developmental parameters. Catalase activity and TBARs were not modified by herbicide exposure although TAC was significantly decreased at 100 mg/kg/d of both pure and formulated compound. Thus, 2,4-D does not seem to induce oxidative stress during early pregnancy in mice at the doses administered, indicating that this mechanism is probably not involved in mediating herbicide toxicity at these dose levels. Furthermore, since no manifestations of developmental toxicity were observed after administration of the herbicide, it is also possible that 2,4-D may not produce any early developmental toxicity at the low environmentally relevant doses tested in this animal model. (c) 2007 Elsevier Ireland Ltd. All rights reserved.",2007,"237","104","110","http://dx.doi.org/10.1016/j.tox.2007.05.002","YES","YES","NO","OXIDATIVE STRESS","everything was non-toxic, think about how to include this."
"283","wos163","Guy","YES","Agostini, MG; Natale, GS; Ronco, AE","lethal and sublethal effects of cypermethrin to hypsiboas pulchellus tadpoles","ECOTOXICOLOGY","The study of the effects of the insecticide cypermethrin (CY) technical grade and its SherpaA (R) commercial formulation on Hypsiboas pulchellus tadpoles assessing lethality, behavior, growth, and abnormalities under standardized laboratory conditions is reported. Observed behaviors were identified and categorized by means of a ranking system according to the loss of mobility. Results of acute lethal effects indicate higher potency for SherpaA (R) at this level of assessment. All effects on behavior showed an increasing degree of injury as insecticide concentration increased. Organisms exposed to technical grade CY showed lower body length with respect to controls from 3.44 A mu g CY/L to higher concentrations, whereas those exposed to SherpaA (R) exhibited lower growth from 0.83 A mu g CY/L. Both forms of the tested insecticide caused abnormalities between 0.34 and 4.18 A mu g CY/L, but 100% of malformed individuals was detected from 34.4 A mu g CY/L for those exposed to the technical grade CY, and from 8.36 A mu g CY/L for those exposed to SherpaA (R). This study proposes the use of easily identifiable and distinguishable sublethal end-points. The high input loads of CY in natural environments, the detected concentrations in the field, in addition to the low levels of this insecticide required to induce sublethal effects (which could eventually lead to death), allow for the conclusion that the insecticide is a risk factor for amphibians inhabiting agroecosystems.",2010,"19","1545","1550","http://dx.doi.org/10.1007/s10646-010-0539-3","YES","YES","NO","BEHAVIOUR/MORPHOLOGY/GROWTH","n/a"
"290","scopus88","Guy","YES","STREIBIG J.C.","measurement of phytotoxicity of commercial and unformulated soil‐applied herbicides","Weed Research","The relative potencies of analytical‐grade lenacil (99% ai) and its commercial formulation, Venzar® (80% ai), technical‐grade ethofumesate (96%) and its commercial formulation Nortron® (21% ai) were evaluated using oats (Avena sativa L. cv. Selma) as test plant. In all experiments the dose‐response curves of the pure herbicide and its commercial product were parallel. The average potency of Venzar relative to lenacil, assayed twice in a sandy loam, was 0⋅80 and thus equal to the expected 0⋅80. The average potency of Nortron relative to ethofumesate, assayed in a sandy loam and a loamy sand, was 0⋅25 and close to the expected value of 0⋅21. The implication of using the technique of parallel‐line assay in herbicide studies is discussed and its potential use in other contexts than the present one is suggested. Copyright © 1984, Wiley Blackwell. All rights reserved",1984,"24","327","331","10.1111/j.1365-3180.1984.tb00594.x","YES","NO","YES","n/a","No CIs reported. Request raw data."
"296","scopus3637","Guy","YES","Bote K.; Pöppe J.; Merle R.; Makarova O.; Roesler U.","minimum inhibitory concentration of glyphosate and of a glyphosate containing herbicide formulation for escherichia coli isolates  differences between pathogenicand non pathogenic isolates and between host species","Frontiers in Microbiology","Glyphosate is the most extensively used herbicide in the world. However, concerns regarding its safety, side effects, and impact on other organisms have increased in recent years. This is the first study to analyze a large set of recent and historical Escherichia coli isolates varying in pathogenicity and beta-lactam resistance from different host species for their susceptibility to glyphosate isopropylamine salt (IPA), the active ingredient of the herbicide, and to a complete glyphosate-containing formulation (Roundup LB Plus). For this, minimum inhibitory concentrations (MIC) were determined for 238 E. coli isolates by broth microdilution in Mueller Hinton I media followed by the statistical analyses using Mann-Whitney-U test, multivariable analysis of variance (ANOVA) and a multivariable proportional-odds ordinal regression model. While the overall MIC distribution was narrow and lacked a highly resistant sub-population for both substances, statistical analyses revealed small but significant associations between glyphosate resistance levels and different factors tested. Mean MIC values for the entire dataset showed a higher level of resistance to the complete glyphosate-containing formulation (40 mg/ml IPA) than to pure glyphosate (10 mg/ml IPA) in E. coli. Isolates that originated from poultry had significantly higher MIC values for both pure glyphosate and the complete formulation. Pathogenic and non-extended-spectrum beta-lactamase (non-ESBL) E. coli isolates each showed significantly higher MIC values compared to commensals and ESBL-producing E. coli in pure glyphosate, but not in the complete formulation. Recently sampled isolates showed statistically higher MICs than the isolates of the historic standard E. coli collection of reference in pure glyphosate, when tested by nonparametric Mann-Whitney-U test, but not in the multivariable model. Further investigations are necessary to confirm whether these associations have a casual relationship with the glyphosate use or are the consequence of co-selection due to the increased application rates of antibiotics, heavy metals or other biocides. A possible accumulation of pathogenic bacteria in livestock animals fed with glyphosate-containing feed should also be considered. © 2007 - 2019 Frontiers Media S.A. All Rights Reserved.",2019,"10","","","10.3389/fmicb.2019.00932","YES","NO","YES","n/a","reported MIC values for E.coli strains in response to Roundup and GLY. Unsure of relevance."
