STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,YEAR,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,ABSTRACT
scopus826,Guy,NO,Collins J.K.; Jackson J.M.,Application of a Screening-Level Pollinator Risk Assessment Framework to Trisiloxane Polyether Surfactants,2022,Environmental Toxicology and Chemistry,41,3084,3094,10.1002/etc.5479,"Regulatory requirements exist to assess the potential impacts of pesticides on insect pollinators, but “inert,” coformulants to pesticide formulations are not included in standard regulatory risk assessments. Some publications in the open literature have suggested that the agricultural uses of “inert” ingredients, including trisiloxane polyether surfactants, may result in adverse effects on pollinators. We conducted a screening-level risk assessment to evaluate the potential risk to insect pollinators, using honey bees (Apis mellifera) as a surrogate, from exposure to three trisiloxane polyether surfactants based on agricultural application scenarios following the current US Environmental Protection Agency (USEPA) guidance. The exposure assessment included data from two sources: (1) use data reported in California's (USA) Pesticide Use Registry (PUR) database for all crops, and (2) an almond orchard residue study conducted using the three trisiloxane polyether surfactants. Honey bee laboratory studies with each of the trisiloxane polyether surfactants reported 50% lethal doses (LD50s) or no adverse effect levels, which were used as the effects inputs to BeeREX. The exposure and toxicity data were combined to estimate potential honey bee risk based on the determination of acute and chronic risk quotients (RQs) for larval and adult life stages. The RQs calculated using both the PUR use rates as well as the application rates and peak measured residues from the almond orchard residue study were below the USEPA acute and chronic levels of concern (acute, 0.4; chronic, 1.0). Based on these results, the use of these three trisiloxane polyether surfactants in agricultural use settings can be considered minimal risk to insect pollinators, and higher tier assessment is unnecessary for the characterization of risk. Environ Toxicol Chem 2022;41:3084–3094. © 2022 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC. © 2022 The Authors. Environmental Toxicology and Chemistry published by Wiley Periodicals LLC on behalf of SETAC."
scopus828,Guy,NO,Mullin C.A.; Chen J.; Fine J.D.; Frazier M.T.; Frazier J.L.,The formulation makes the honey bee poison,2015,Pesticide Biochemistry and Physiology,120,27,35,10.1016/j.pestbp.2014.12.026,"Dr. Fumio Matsumura's legacy embraced a passion for exploring environmental impacts of agrochemicals on non-target species such as bees. Why most formulations are more toxic to bees than respective active ingredients and how pesticides interact to cause pollinator decline cannot be answered without understanding the prevailing environmental chemical background to which bees are exposed. Modern pesticide formulations and seed treatments, particularly when multiple active ingredients are blended, require proprietary adjuvants and inert ingredients to achieve high efficacy for targeted pests. Although we have found over 130 different pesticides and metabolites in beehive samples, no individual pesticide or amount correlates with recent bee declines. Recently we have shown that honey bees are sensitive to organosilicone surfactants, nonylphenol polyethoxylates and the solvent N-methyl-2-pyrrolidone (NMP), widespread co-formulants used in agrochemicals and frequent pollutants within the beehive. Effects include learning impairment for adult bees and chronic toxicity in larval feeding bioassays. Multi-billion pounds of formulation ingredients like NMP are used and released into US environments. These synthetic organic chemicals are generally recognized as safe, have no mandated tolerances, and residues remain largely unmonitored. In contrast to finding about 70% of the pesticide active ingredients searched for in our pesticide analysis of beehive samples, we have found 100% of the other formulation ingredients targeted for analysis. These 'inerts' overwhelm the chemical burden from active pesticide, drug and personal care ingredients with which they are formulated. Honey bees serve as an optimal terrestrial bioindicator to determine if 'the formulation and not just the dose makes the poison'. © 2014 Elsevier Inc."
scopus847,Guy,YES,Mottier A.; Pini J.; Costil K.,"Effects of a POEA surfactant system (Genamin T-200®) on two life stages of the Pacific oyster, Crassostrea gigas",2014,Journal of Toxicological Sciences,39,211,215,10.2131/jts.39.211,"Surfactants used in herbicide formulations are generally considered inert with no toxic effects on animals. Polyethoxylated tallow amines (POEAs) are non-ionic surfactants used in many herbicide formulations to promote the penetration of the active matter into plant cuticles. The present study aimed to assess the toxicity of a POEA surfactant system, the Genamin T-200®, on two larval stages of the Pacific oyster, Crassostrea gigas. The embryotoxicity of Genamin T-200® was quantified after 36 hr of exposure, considering both arrested development and abnormalities in D-shaped larvae. The ability of pediveliger larvae to metamorphose was studied after 24 hr exposure to Genamin T-200®. According to the European toxicity classification, the present results suggest that Genamin T-200® could be considered very toxic to embryo larval development, with an EC50 of 262 μg/l, and toxic to metamorphosis processes with an EC50 of 3,027 μg/l. The high toxicity of glyphosate-based formulations compared to the active ingredient and its by-product appears to be due primarily to surfactants."
scopus848,Guy,NO,Pfleeger Thomas; Mc Farlane Craig; Sherman Racinda; Volk Gayle,Short-term bioassay for whole plant toxicity,1991,ASTM Special Technical Publication,,355,364,,"A five-day, whole plant toxicity test was developed and evaluated. The 18 chemicals tested were primarily substituted benzenes and phenols, although representative herbicides, surfactants, and other industrial chemicals were also tested. The test yields information on root and shoot growth as a function of toxic chemical concentration in the root environment and can also be used to determine the effect on transpiration. The measurement found to be the most sensitive indicator of toxicity was total plant growth. EC30 (effective concentration that reduced growth 50%) values were estimated for each compound using regression analysis. This simple bioassay gives a quick response to an acute exposure and can be used to screen chemicals at various concentrations. The beginning of a unique database comparing species, concentrations, and chemical toxicity are presented, and the results are discussed in relation to other phytotoxicity data."
scopus859,Guy,NO,Zhao J.; Chi Y.; Liu F.; Jia D.; Yao K.,Effects of Two Surfactants and Beta-Cyclodextrin on Beta-Cypermethrin Degradation by Bacillus licheniformis B-1,2015,Journal of Agricultural and Food Chemistry,63,10729,10735,10.1021/acs.jafc.5b04485,"The biodegradation efficiency of beta-cypermethrin (β-CY) is low especially at high concentrations mainly due to poor contact between this hydrophobic pesticide and microbial cells. In this study, the effects of two biodegradable surfactants (Tween-80 and Brij-35) and β-cyclodextrin (β-CD) on the growth and cell surface hydrophobicity (CSH) of Bacillus licheniformis B-1 were studied. Furthermore, their effects on the solubility, biosorption, and degradation of β-CY were investigated. The results showed that Tween-80 could slightly promote the growth of the strain while Brij-35 and β-CD exhibited little effect on its growth. The CSH of strain B-1 and the solubility of β-CY were obviously changed by using Tween-80 and Brij-35. The surfactants and β-CD could enhance β-CY biosorption and degradation by the strain, and the highest degradation was obtained in the presence of Brij-35. When the surfactant or β-CD concentration was 2.4 g/L, the degradation rate of β-CY in Brij-35, Tween-80, and β-CD treatments was 89.4%, 50.5%, and 48.1%, respectively. The half-life of β-CY by using Brij-35 was shortened by 69.1 h. Beta-CY content in the soil with both strain B-1 and Brij-35 decreased from 22.29 mg/kg to 4.41 mg/kg after incubation for 22 d. This work can provide a promising approach for the efficient degradation of pyrethroid pesticides by microorganisms. © 2015 American Chemical Society."
scopus988,Guy,YES,Park S.; Hwang I.-W.; Kim J.-S.; Kang H.-C.; Park S.-Y.; Gil H.-W.; Song H.-Y.; Hong S.-Y.,The effects of nonyl phenoxypolyethoxyl ethanol on cell damage pathway gene expression in SK-NSH cells,2015,Korean Journal of Internal Medicine,30,873,883,10.3904/kjim.2015.30.6.873,"Background/Aims: Most pesticide formulations contain both chief and additive ingredients. But, the additives may not have been tested as thoroughly as the chief ingredients. The surfactant, nonyl phenoxypolyethoxylethanol (NP40), is an additive frequently present in pesticide formulations. We investigated the effects of NP40 and other constituents of a validamycin pesticide formulation on cell viability and on the expression of genes involved in cell damage pathways. Methods: The effects of validamycin pesticide ingredients on cell viability and of NP40 on the mRNA expression of 80 genes involved in nine key cellular pathways were examined in the human neuroblastoma SK-N-SH cell line. Results: The chemicals present in the validamycin pesticide formulation were cytotoxic to SK-N-SH cells and NP40 showed the greatest cytotoxicity. A range of gene expression changes were identified, with both up- and down-regulation of genes within the same pathway. However, all genes tested in the necrosis signaling pathway were down-regulated and all genes tested in the cell cycle checkpoint/ arrest pathway were up-regulated. The median fold-change in gene expression was significantly higher in the cell cycle checkpoint/arrest pathway than in the hypoxia pathway category (p = 0.0064). The 70 kDa heat shock protein 4 gene, within the heat shock protein/unfolded protein response category, showed the highest individual increase in expression (26.1-fold). Conclusions: NP40 appeared to be particularly harmful, inducing gene expression changes that indicated genotoxicity, activation of the cell death (necrosis signaling) pathway, and induction of the 70 kDa heat shock protein 4 gene. © 2015 The Korean Association of Internal Medicine."
scopus1126,Guy,NO,Tatum V.,The toxicity of silvicultural herbicides to wildlife volume I: Introduction and triclopyr,2003,NCASI Technical Bulletin,,,,,"Herbicides are an essential element of modern forest vegetation management plans. However, increased opposition to herbicide use from the public, environmental groups, and in some cases, agencies of both state and federal government, threatens the continued availability of herbicides to forest managers. Among the claims made by foes of herbicide use in forests are that little is known about herbicide toxicity, herbicides are toxic to fish and wildlife, and that tank mixtures and the inert ingredients used along with herbicides are more toxic than individual herbicides. This is the first in a series of technical bulletins that will address the issue of herbicide toxicity to fish and wildlife. This introductory bulletin describes the various types of herbicides, surfactants and other adjuvants, and outlines the basic methods of testing for herbicide toxicity as a part of the process of pesticide registration. In addition, a review is provided of the environmental fate and toxicity to fish and wildlife of the herbicide triclopyr, the active ingredient in the products Garlon 3A® and Garlon 4®. Triclopyr is not persistent in the environment, nor does it accumulate in living organisms. The expected environmental concentrations of triclopyr following application of triclopyr-containing herbicide formulations to forests are, in general, far below those known to be associated with any kind of toxicity to fish and wildlife. However, in cases where triclopyr and its residues might enter bodies of water, either through run-off or direct overspray, the margin of safety for some aquatic organisms is not as great for Garlon 4® as it is for Garlon 3A®."
scopus1274,Guy,NO,Mesnage R.; Benbrook C.; Antoniou M.N.,Insight into the confusion over surfactant co-formulants in glyphosate-based herbicides,2019,Food and Chemical Toxicology,128,137,145,10.1016/j.fct.2019.03.053,"Glyphosate is the active ingredient in glyphosate-based herbicides (GBHs). Other chemicals in GBHs are presumed as inert by regulatory authorities and are largely ignored in pesticide safety evaluations. We identified the surfactants in a cross-section of GBH formulations and compared their acute toxic effects. The first generation of polyethoxylated amine (POEA) surfactants (POE-tallowamine) in Roundup are markedly more toxic than glyphosate and heightened concerns of risks to human health, especially among heavily-exposed applicators. Beginning in the mid-1990s, first-generation POEAs were progressively replaced by other POEA surfactants, ethoxylated etheramines, which exhibited lower non-target toxic effects. Lingering concern over surfactant toxicity was mitigated at least in part within the European Union by the introduction of propoxylated quaternary ammonium surfactants. This class of POEA surfactants are ∼100 times less toxic to aquatic ecosystems and human cells than previous GBH-POEA surfactants. As GBH composition is legally classified as confidential commercial information, confusion concerning the identity and concentrations of co-formulants is common and descriptions of test substances in published studies are often erroneous or incomplete. In order to resolve this confusion, laws requiring disclosure of the chemical composition of pesticide products could be enacted. Research to understand health implications from ingesting these substances is required. © 2019 The Authors"
scopus1343,Guy,NO,Chen J.; Fine J.D.; Mullin C.A.,Are organosilicon surfactants safe for bees or humans?,2018,Science of the Total Environment,612,415,421,10.1016/j.scitotenv.2017.08.175,"Organosilicon surfactants are the most potent adjuvants available for formulating and applying agricultural pesticides and fertilizers, household cleaning and personal care products, dental impressions and medicines. Risk assessment of pesticides, drugs or personal care products that takes into account only active ingredients without the other formulation ingredients and adjuvants commonly used in their application will miss important toxicity outcomes detrimental to non-target species including pollinators and humans. Over a billion pounds of organosilicon surfactants from all uses are produced globally per year, making this a major component of the chemical landscape to which bees and humans are exposed. These silicones, like most “inerts”, are generally recognized as safe, have no mandated tolerances, and their residues are largely unmonitored. Lack of their public disclosure and adequate analytical methods constrains evaluation of their risk. Organosilicon surfactants, the most super-spreading and -penetrating adjuvants available, at relevant exposure levels impair honey bee learning, are acutely toxic, and in combination with bee viruses cause synergistic mortality. Organosilicon surfactants need to be regulated as a separate class of “inerts” from the more common silicones. In turn, impacts of organosilicon surfactant exposures on humans need to be evaluated. Silicones in their great diversity probably represent the single most ubiquitous environmental class of global synthetic pollutants. Do honey bees, a model environmental indicator organism, forewarn of hidden risks to humans of ubiquitous silicone exposures? © 2017 Elsevier B.V."
scopus1368,Guy,NO,Jevremović A.; Božinović N.; Arsenijević D.; Marmakov S.; Vasiljević B.N.; Uskoković-Marković S.; Bajuk-Bogdanović D.; Milojević-Rakić M.,Modulation of cytotoxicity by consecutive adsorption of tannic acid and pesticides on surfactant functionalized zeolites,2020,Environmental Science: Processes and Impacts,22,2199,2211,10.1039/d0em00251h,"This study investigated the environmental application of FAU type zeolites modified with cationic surfactants (cetylpyridinium chloride, tetrapropylammonium chloride and benzalkonium chloride). Adsorbent characterization was conducted using Fourier-transform infrared and Raman spectroscopy, thermogravimetry and differential thermal analysis, atomic force microscopy and X-ray powder diffraction. The efficiency for tannic acid adsorption from aqueous solution on the surface of prepared composites is studied and the adsorption process was modelled with different isotherm equations. Surfactant modifications of zeolites led to improved adsorption properties compared to FAU zeolites alone. The proposed mechanism controlling the adsorption of tannic acid onto surfactant modified zeolites mainly relies on π-π and hydrophobic interactions. The investigated materials are promising adsorbents for tannic acid and similar phenolics and may be important for environmental and dietary aspects of polyphenol persistence and usage. Further on, functionalized zeolites were studied for insecticide acetamiprid removal, prior to and after tannic acid retention. Promising findings of insecticide co-adsorption with tannic acid led to cytotoxicity evaluation. The cytotoxicity modulation effect of zeolites and tannic acid on acetamiprid points to the essential role of both components in insecticide toxicity reduction. © 2020 The Royal Society of Chemistry."
scopus1449,Guy,NO,Garcerá C.; Ouyang Y.; Scott S.J.; Moltó E.; Grafton-Cardwell E.E.,"Effects of spirotetramat on aonidiella aurantii (Homoptera: Diaspididae) and its parasitoid, aphytis melinus (Hymenoptera: Aphelinidae)",2013,Journal of Economic Entomology,106,2126,2134,10.1603/EC12510,"Laboratory and field studies were conducted to measure the effects of spirotetramat on life stages of California red scale, Aonidiella aurantii (Maskell), and a primary parasitoid, Aphytis melinus DeBach. Organophosphate-resistant and -susceptible populations responded similarly to spirotetramat, suggesting there is no cross-resistance between these insecticide classes. First and second instar male and female A. aurantii were 10- and 32-fold more susceptible to spirotetramat (LC50 = 0.1-0.2 ppm) compared with early third (LC50 = 1.5 ppm) and late third instar females (LC50 = 5.3 ppm). The LC99 value indicated that late stage third instar females would not be fully controlled by a field rate of spirotetramat; however, spirotetramat would reduce their fecundity by 89%. Field applications of spirotetramat in two water volumes and using two adjuvants (oil and a nonionic spray adjuvant) showed similar reduction in A. aurantii numbers, even though the higher water volume demonstrated more complete coverage. These data suggest that this foliarly applied systemic insecticide can be applied in as little as 2,340 liters/ha of water volume, minimizing application costs, and that the two adjuvants acted similarly. The endoparasitoid, A. melinus, was unaffected by the field rate of spirotetramat when it was applied to the host when the parasitoid was in the egg or larval stage. Adult A. melinus showed 2 wk of moderate reductions in survival when exposed to leaves with field-weathered residues. Spirotetramat is an integrated pest management compatible insecticide, effective in reducing A. aurantii stages and allowing survival of its primary parasitoid A. melinus. © 2013 Entomological Society of America."
scopus1450,Guy,NO,Schneider R.P.,"Mechanism of inhibition of rat brain (Na + K)-adenosine triphosphatase by 2,2-bis(p-chlorophenyl)-1,1,-trichloroethane (DDT)",1975,Biochemical Pharmacology,24,939,946,10.1016/0006-2952(75)90423-2,"Inhibition of an (Na + K)-ATPase preparation from rat brain by DDT was five times as effective when the insecticide was particulate than when solubilized by the surfactant, Corexit 7664. The surfactant reduced binding of DDT to the membranes by about 5 fold. Inhibition correlated with the amount of DDT bound rather than with its concentration or physical state. In the absence of the surfactant, maximal inhibition and binding occurred when the membranes contained about 350 pmoles/μg of protein, an amount equal to 12 per cent of the protein content of the membranes. At low concentrations most of the DDT present is bound by the membranes, hence its effect decreases as membrane concentration increases. The kinetics of inhibition of the (Na + K)-ATPase by DDT, allenthrin and DDE were examined by varying the concentrations of inhibitor, Na+, or K+, while holding the concentration of the others constant. Inhibition by all of these compounds was potentiated by increased K+, and the increment in the inhibition caused by K+ was reversible by increased Na+ concentrations. Hence the effectiveness of DDT is dependent on the membrane concentration and the relative concentrations of Na+ and K+. The concentration of DDT required for maximal inhibition suggests that the inhibition is not caused by binding to a specific site on the enzyme, but is the result of indirect alterations of the membrane which interfere with allosteric transitions of the (Na + K)-ATPase mediated by Na+ and K+. © 1975."
scopus1618,Guy,NO,Hu X.; Gong H.; Liu H.; Wang X.; Wang W.; Liao M.; Li Z.; Ma K.; Li P.; Rogers S.; Schweins R.; Liu X.; Padia F.; Bell G.; Lu J.R.,Contrasting impacts of mixed nonionic surfactant micelles on plant growth in the delivery of fungicide and herbicide,2022,Journal of Colloid and Interface Science,618,78,87,10.1016/j.jcis.2022.03.002,"Hypothesis: Nonionic alkyl ethoxylate surfactants are widely used in agrochemicals to facilitate the permeation of systemic herbicides and fungicides across the plant waxy film. Industrial grade surfactants are often highly mixed and how the mixing affects their interactions with pesticides and wax films remains largely unexplored. A better understanding could enable design of mixed nonionic surfactants for herbicides and fungicides to maximize their efficiency and reduce wastage whilst controlling their impact on plant wax films. Experiment: In this study, nonionic surfactants with general structure n-oxyethylene glycol monododecyl ether (C12En) were used to form surfactant mixtures with the same average ethoxylate numbers but different hydrophilic-lipophilic balance (HLB) values. Their mixed micellar systems were then used to solubilize a herbicide diuron (DN) and a fungicide cyprodinil (CP), followed by plant wax solubilization upon contact with wax films. These processes were monitored by 1H NMR and SANS. Finding: Pesticide solubilization made surfactant micelles effectively more hydrophobic but subsequent wax dissolution caused pesticide release and the restoration of the micellar amphiphilicity. Nonionic surfactants with lower HLBs form larger nanoaggregates, show enhanced wettability, and have better ability to solubilize and permeate pesticides across the wax film, but may cause significant damage to plant growth. These observations help explain why herbicides applied on weeds would benefit from surfactants with lower HLB values while fungicides require surfactants with HLBs to balance between delivery efficiency and potential phytotoxicity risks. © 2022"
scopus1638,Guy,NO,Pienia̧zek D.; Bukowska B.; Duda W.,Glyphosate - A non-toxic pesticide?; [Glifosat - Nietoksyczny pestycyd?],2003,Medycyna Pracy,54,579,583,,"Glyphosate is currently the most commonly applied herbicide and its use is still growing. Nowadays, over 50 commercial preparations containing this compound are used, and these formulations are much more toxic than their active compound, glyphosate, owing to the presence of many surfactants and carrier compounds. Toxicological investigations provide evidence that glyphosate is an extremely ""safe"" herbicide for animals. This is why its use in agriculture is universal. In June 1991, the Environmental Protection Agency (EPA) categorized this compound into class E (according to EPA there are five categories of carcinogenicity), which means that it is probably not carcinogenic to humans. Unfortunately, the study carried out by Swedish oncologists in 2001 showed that glyphosate may induce cancer of the lymphatic system. The results of the Swedish study have changed our opinion about ""safety"" of this herbicide. Investigations concerning both its accumulation and toxic effect in animals and plants are now under way in many laboratories."
scopus1725,Guy,NO,Lewis M.A.,The effects of mixtures and other environmental modifying factors on the toxicities of surfactants to freshwater and marine life,1992,Water Research,26,1013,1023,10.1016/0043-1354(92)90136-R,"The effects of several environmental modifying factors on surfactant toxicity have been reported in the scientific literature during the past 40 years. The results from 58 reports describing, among other factors, the effects of mixtures, hardness and temperature are summarized in this report. The most common test compound used in the reviewed studies was the anionic linear alkylbenzene sulfonate. Most tests have been conducted in the laboratory with single species of freshwater fish, but a few studies have been conducted in ponds, lakes and rivers with natural biotic assemblages. Of the 58 reports reviewed, those describing the toxicities of mixtures containing surfactants are the most numerous (n = 32). The impact of the presence of pesticides and metals on surfactant toxicity has been unpredictable but oil-surfactant mixtures are usually more toxic than expected. Increasing water hardness and temperature increases surfactant toxicity in some cases but the outcome has been compound and species-specific. The presence of suspended solids and naturally occurring dissolved substances decreases the bioavailability of cationic surfactants but not that of anionic and nonionic surfactants. The impact of other chemical and physical modifying factors on surfactant toxicity are too poorly understood to generalize. Therefore, additional research is needed to determine these effects particularly on the chronic toxicities of surfactants at the multispecies level. These data are necessary if environmental hazard assessments for most surfactants are to go beyond their current simplification and be more effective in predicting ecological risk. © 1992."
scopus1832,Guy,NO,Da Lage C.; Alnot M.O.,Teratogenic effects of certain pesticides on embryos of birds and mammals; [EFFETS TERATOGENES DE CERTAINS PESTICIDES SUR LES EMBRYONS D'OISEAUX ET DE MAMMIFERES],1973,ECON.MED.ANIM.,14,141,150,,"Most of these observations were experimental and made under conditions far from the normal ecology of animals and man; the experiments were not always conducted with chemically pure substances but often with complex commercial mixtures in which only impurities were excluded and the excipient may play a part; most were carried out with higher concentrations than those normally used, even reaching lethal levels. It is desirable that rational and controlled use of pesticides should prevent a future concentration of these chemicals at critical levels in human tissue. Despite the reserves imposed by extrapolation from animals to man, there is a risk that above a certain level they would have teratogenic effects in man similar to those seen in birds and small mammals."
scopus1883,Guy,NO,Martins J.M.F.; Chevre N.; Spack L.; Tarradellas J.; Mermoud A.,Degradation in soil and water and ecotoxicity of rimsulfuron and its metabolites,2001,Chemosphere,45,515,522,10.1016/S0045-6535(01)00040-6,"The degradation and ecotoxicity of sulfonylurea herbicide rimsulfuron and its major metabolites were examined in batch samples of an alluvial sandy loam and in freshwater. An HPLC-DAD method was adapted to simultaneously identify and quantify rimsulfuron and its metabolites, which was successfully validated by GC-MS analysis. In aqueous solutions, pure rimsulfuron was rapidly hydrolyzed into metabolite 1 (N-(4,6-dimethoxypyrimidin-2-yl)-N-(3-(ethyl-sulfonyl)-2-pyridinylurea)), which itself was transformed into the more stable metabolite 2 (N-((3-(ethylsulfonyl)-2-pyridinyl)-4,6-dimethoxy-2-pyrimidineamine)), with half-life (t1/2) values of 2 and 2.5 days, respectively. Hydrolysis was instantaneous under alkaline conditions (pH = 10). In aqueous suspensions of the alluvial soil (pH = 8), formulated rimsulfuron had a half-life of 7 days, whereas that of metabolite 1 was similar to that in water (about 3.5 days). The degradation of the two major metabolites was also studied in soil suspensions with the pure compounds at concentrations ranging from 1 to 10 mg 1-1. The half-life of metabolite 1 ranged from 3.9 to 5 days, close to the previous values. Metabolite 2 was more persistent and its degradation is strongly dependent on the initial concentration (Co): half-life values ranged from 8.1 to 55 days at 2-10 mg 1-1, respectively. These values are higher than those determined from the kinetics of metabolite 1 transformation into metabolite 2 (t1/2 = 8-19 days). The ecotoxicity of the three chemicals was evaluated through their effect on Daphnia magna and Vibriofischeri (Microtox bioassay). No effect was observed on D. magna with 24 and 48 h acute toxicity tests. Similarly, no toxic effect was observed with the Microtox test for the three chemicals in the range of concentrations tested that included the field application dose. Thus, being of low persistence and lacking acute toxicity, these chemicals present a low environmental risk. However, chronic effects should be studied in order to confirm the safety of rimsulfuron and its major metabolites. © 2001 Elsevier Science Ltd. All rights reserved."
scopus2056,Guy,YES,Coors A.; Dobrick J.; Möder M.; Kehrer A.,Mixture toxicity of wood preservative products in the fish embryo toxicity test,2012,Environmental Toxicology and Chemistry,31,1239,1248,10.1002/etc.1827,"Wood preservative products are used globally to protect wood from fungal decay and insects. We investigated the aquatic toxicity of five commercial wood preservative products, the biocidal active substances and some formulation additives contained therein, as well as six generic binary mixtures of the active substances in the fish embryo toxicity test (FET). Median lethal concentrations (LC50) of the single substances, the mixtures, and the products were estimated from concentration-response curves and corrected for concentrations measured in the test medium. The comparison of the experimentally observed mixture toxicity with the toxicity predicted by the concept of concentration addition (CA) showed less than twofold deviation for all binary mixtures of the active substances and for three of the biocidal products. A more than 60-fold underestimation of the toxicity of the fourth product by the CA prediction was detected and could be explained fully by the toxicity of one formulation additive, which had been labeled as a hazardous substance. The reason for the 4.6-fold underestimation of toxicity of the fifth product could not be explained unambiguously. Overall, the FET was found to be a suitable screening tool to verify whether the toxicity of formulated wood preservatives can reliably be predicted by CA. Applied as a quick and simple nonanimal screening test, the FET may support approaches of applying component-based mixture toxicity predictions within the environmental risk assessment of biocidal products, which is required according to European regulations. © 2012 SETAC."
scopus2092,Guy,NO,Mesnage R.,Coformulants in commercial herbicides,2021,"Herbicides: Chemistry, Efficacy, Toxicology, and Environmental Impacts",,87,111,10.1016/B978-0-12-823674-1.00010-9,"The efficiency of herbicide applications in agriculture is dependent not only on the toxicity or biological action of active substances on weeds, but also the solubility, volatilization, adherence, penetration, rainfastness, foaming, and drift of the spray mixture. These properties are controlled by the inclusion of coformulants in formulated herbicides and the addition of adjuvants to tank mixes. Adjuvants, coformulants, and their mixtures with active ingredients are technological cornerstones of efficacious weed management. Unintended effects are frequent when a product is not used according to label-recommended rates, or when used in a way or environment for which it is not suited. Exposure to high doses can cause foliar damage in crops, carryover in soil, and a variety of pathologies in human populations. This chapter is an overview of the function, classification, toxicology, and regulation of pesticide coformulants and adjuvants. © 2021 Elsevier Inc. All rights reserved."
scopus2101,Guy,NO,Bruce A.B.; Borlu Y.; Glenna L.L.,Assessing the scientific support for U.S. EPA pesticide regulatory policy governing active and inert ingredients,2023,Journal of Environmental Studies and Sciences,13,1,13,10.1007/s13412-022-00788-4,"US Environmental Protection Agency (EPA) pesticide regulatory policy only requires environmental impact and safety testing and labeling of the active ingredients of pesticide products, rather than the end use formula. This policy is thought to partially explain the conflicting outcomes of the International Agency for Research on Cancer (IARC) and EPA assessments on glyphosate, and there is substantial scientific evidence that this approach has led to an underestimation of risk. In this paper, we present a review of EPA pesticide policy governing the regulation of active and other ingredients and findings from a survey of US agricultural scientists focused on their views of this EPA policy. The survey findings indicate that the scientists we surveyed support a more comprehensive approach to the regulation of pesticide products, including both active and inert ingredients, as well as the end use product, to test for combined effects. They also support the disclosure and labeling of inert ingredients to support independent testing of these chemicals. The results also indicate that university scientists oriented towards public science are more likely to support regulation than university scientists oriented towards private science. Overall, despite substantial evidence that the combination of all ingredients in pesticide products may be more toxic than the active ingredients alone, the current regulatory approach does not provide a pathway for the agency to respond to this science. In this sense, the scientific support for the agency’s current regulatory approach is unclear. © 2022, AESS."
scopus2141,Guy,NO,Leifer K.B.,New developments in the regulation of pesticide inert ingredients in the United States,1997,ASTM Special Technical Publication,1328,5,10,10.1520/stp13828s,"The Environmental Protection Agency (EPA) has the authority to regulate inert ingredients present in pesticide products registered for use in the United States. Until recently, most of EPA's regulatory activities focused on the pesticide active ingredient, rather than the other components of the pesticide formulation known as inert ingredients. Although EPA has considered inert-specific data when reviewing some of the inert ingredients currently accepted for use in pesticides applied to food, it wasn't until the publication of EPA's Inert Strategy that a comprehensive policy regarding the information needed to determine the acceptability of a pesticide product inert ingredient was established. The implementation of this policy has led to changes in the types of substances proposed for use as inert ingredients as well as advancements in the methods for reviewing new inert ingredients. Emphasis on the long-term health and environmental effects of inert ingredients now requires pesticide registrants and others to consider these effects when developing new formulations. In order to encourage the use of less toxic inert ingredients. EPA has streamlined its review process, resulting in quicker decisions and more timely market introductions."
scopus2151,Guy,NO,Mullin C.A.,Effects of 'inactive' ingredients on bees,2015,Current Opinion in Insect Science,10,194,200,10.1016/j.cois.2015.05.006,"Honey bees are sensitive to widespread co-formulants used in agrochemicals, and evaluation of the role of these 'inerts or inactives' in pollinator decline is only in its formative stages. Lack of disclosure of formulation ingredients in major products and lack of adequate methods for their analysis constrain the assessment of total chemical load and agrochemical exposures on bees. Most studies to document pesticide effects on honey bees are performed without the formulation or other relevant spray adjuvant components used to environmentally apply the toxicant. Formulations are generally more toxic than active ingredients, particularly fungicides, by up to 26,000-fold based on published literature. Some 'inactive' candidates for future risk assessment for pollinators include the organosilicone surfactants and the co-solvent N-methyl-2-pyrrolidone. © 2015 Elsevier Inc. All rights reserved."
scopus2156,Guy,YES,Schmidt F.F.; Lichtenstein D.; Planatscher H.; Mentz A.; Kalinowski J.; Steinhilber A.E.; Joos T.O.; Braeuning A.; Pötz O.,Pesticide mixture effects on liver protein abundance in HepaRG cells,2021,Toxicology,458,,,10.1016/j.tox.2021.152839,"Toxicological effects of chemicals are mostly tested individually. However, consumers encounter exposure to complex mixtures, for example multiple pesticide residues, by consuming food such as crops, fruits or vegetables. Currently, more than 450 active substances are approved in the European Union, and there is little data on effects after combined exposure to several pesticides. Toxicological animal studies would increase enormously, if pesticide combinations had to be analyzed in vivo. Therefore, in vitro methods addressing this issue are needed. We have developed 32 immunoaffinity-based mass spectrometry assays to investigate the impact of hepatotoxic active substances on liver proteins in human HepaRG cells. Five compounds were selected based on their (dis)similar capability to modulate protein levels, and on their combined use in commercially available formulations. Four binary mixtures were prepared from these five substances and tested in different concentrations over three time points. We applied a novel statistical method to describe deviations from additivity and to detect antagonistic and synergistic effects. The results regarding the abundance of hepatotoxicity-related proteins showed additive behavior for 1323 out of 1427 endpoints tested, while 104 combinatorial effects deviating from additivity, such as antagonism or synergism were observed. © 2021 Elsevier B.V."
