"DATA_ID","STUDY_ID","AI_NAME","AI_50","AI_50_TYPE","AI_ERROR_LOWER","AI_ERROR_HIGHER","AI_ERROR_TYPE","AI_N_CONTAINER","AI_N_INDIVIDUALS_PER_CONTAINER","AI_N_STRUCTURE","FORM_NAME","FORM_50","FORM_50_TYPE","FORM_ERROR_LOWER","FORM_ERROR_HIGHER","FORM_ERROR_TYPE","FORM_N_CONTAINER","FORM_N_INDIVIDUALS_PER_CONTAINER","FORM_N_STRUCTURE","CI_METHOD","COMMON_CONTROL","MULTIPLE_MEASUREMENT","SPECIES_NAME_BINOMIAL","SPECIES_NAME_COMMON","STRAIN_CLONE_SOURCE","SPECIES_CLASS","SPECIES_PHYLUM","SPECIES_KINGDOM","ECOSYSTEM","LIFE_STAGE","EXPOSURE_DURATION_HOURS","PESTICIDE_CLASS","NANO_FORMULATION","SEX","EXPOSURE_ROUTE","ACUTE_CHRONIC_TOXICITY","TEMPERATURE_.C","PH","FEEDING_STATE","AGE_TEST_ORGANISM_HOURS","REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED","WATER_HARDNESS_mg_L_Ca_CO3","SE_SIMULATION_REQUIRED","FORMULATION_TYPE","FORMULATION_EXPRESSED_IN_AI_CONC","FORMULATION_VALUE_ADJUSTED","YEAR_PUBLISHED","NOTES"
184,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Dominator Extra 608 SL",271,"EC50","173.3139535","480.5523256","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_22","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
185,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Glialka Star",509,"EC50","178.9261637","276.9678973","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_23","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
186,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Roundup Mega",356,"EC50","118.9382151","177.5926773","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_24","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
187,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Glyfos Dakar",71.3,"EC50","53.92164009","221.8583144","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_25","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","granules","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
188,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Medallon Premium",32.2,"EC50","17.12417303","36.62442748","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_b","wos764_26","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",10,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
189,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Barclay Gallup Biograde 360",19.6,"EC50","10.69090909","23.46060606","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_27","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
190,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Boom Efekt",222,"EC50","140.5252525","379.7171717","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_28","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
191,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Fozat 480",62,"EC50","27.41445783","49.30120482","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_29","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
192,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Gladiator 480 SL",77.6,"EC50","35.63572816","67.05242718","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_30","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
193,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Glialka Express 6H",0.9,"EC50","0.7125","3.6","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_31","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","ready to use","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
194,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Kapazin",96.7,"EC50","40.76276923","72.15307692","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_32","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
195,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Roundup Classic",87.7,"EC50","31.02663866","47.16638655","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_33","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
196,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Total",145,"EC50","44.3877551","64.3622449","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_34","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
197,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Dominator Extra 608 SL",141,"EC50","73.33575419","151.2402235","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_35","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
198,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Glialka Star",155,"EC50","59.55263158","95.44736842","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_36","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
199,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Roundup Mega",116,"EC50","40.6","62.08450704","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_37","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
200,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Glyfos Dakar",508,"EC50","174.4728435","266.172524","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_38","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","granules","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
201,"wos764","glyphosate",500,"EC50","n/a","n/a","n/a",3,1,"3 replicates per concentration","Medallon Premium",24.8,"EC50","10.31287129","17.67920792","CI_95",3,1,"3 replicates per concentration","four parameter logistic","wos764_c","wos764_39","Aliivibrio fischeri","n/a","DSM-7151, NRRL B-11177","Gammaproteobacteria","Proteobacteria","Bacteria","Aquatic","n/a",15,"herbicide","NO","n/a","environmental","chronic","20","n/a","n/a","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"the CIs were in terms of G salt. Had to convert CIs using to G acid using ratio between G acid and G salt EC50 estimates. "
202,"wos1023","glyphosate",500,"LC50","n/a","n/a","n/a",8,4,"4 individuals per container, 8 containers","Roundup Star",37.8,"LC50","1","1.2","CI_95",8,4,"4 individuals per container, 8 containers","log(dose)-normalised response","wos1023_a","wos1023_1","Xenopus laevis","african clawed frog","Laboratory of Environmental Toxicology, Inonu University","Amphibia","Chordata","Animalia","Aquatic","embryo",48,"herbicide","NO","n/a","environmental","acute","23","n/a","starved","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"n/a"
203,"wos1023","glyphosate",500,"LC50","n/a","n/a","n/a",8,4,"4 individuals per container, 8 containers","Roundup Star",33.2,"LC50","0.8","0.6","CI_95",8,4,"4 individuals per container, 8 containers","log(dose)-normalised response","wos1023_b","wos1023_1","Xenopus laevis","african clawed frog","Laboratory of Environmental Toxicology, Inonu University","Amphibia","Chordata","Animalia","Aquatic","embryo",72,"herbicide","NO","n/a","environmental","acute","23","n/a","starved","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"n/a"
204,"wos1023","glyphosate",500,"LC50","n/a","n/a","n/a",8,4,"4 individuals per container, 8 containers","Roundup Star",32.1,"LC50","1.2","0.5","CI_95",8,4,"4 individuals per container, 8 containers","log(dose)-normalised response","wos1023_c","wos1023_1","Xenopus laevis","african clawed frog","Laboratory of Environmental Toxicology, Inonu University","Amphibia","Chordata","Animalia","Aquatic","embryo",96,"herbicide","NO","n/a","environmental","acute","23","n/a","starved","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"n/a"
205,"wos1023","glyphosate",500,"LC50","n/a","n/a","n/a",6,5,"5 tadpoles, 6 replicates","Roundup Star",45.1,"LC50","1.4","2.2","CI_95",6,5,"5 tadpoles, 6 replicates","log(dose)-normalised response","wos1023_d","wos1023_2","Xenopus laevis","african clawed frog","Laboratory of Environmental Toxicology, Inonu University","Amphibia","Chordata","Animalia","Aquatic","larvae",24,"herbicide","NO","n/a","environmental","acute","23","n/a","starved","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"n/a"
206,"wos1023","glyphosate",500,"LC50","n/a","n/a","n/a",6,5,"5 tadpoles, 6 replicates","Roundup Star",37.6,"LC50","0.8","0.9","CI_95",6,5,"5 tadpoles, 6 replicates","log(dose)-normalised response","wos1023_e","wos1023_2","Xenopus laevis","african clawed frog","Laboratory of Environmental Toxicology, Inonu University","Amphibia","Chordata","Animalia","Aquatic","larvae",48,"herbicide","NO","n/a","environmental","acute","23","n/a","starved","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"n/a"
207,"wos1023","glyphosate",500,"LC50","n/a","n/a","n/a",6,5,"5 tadpoles, 6 replicates","Roundup Star",36.3,"LC50","0.7","1.2","CI_95",6,5,"5 tadpoles, 6 replicates","log(dose)-normalised response","wos1023_f","wos1023_2","Xenopus laevis","african clawed frog","Laboratory of Environmental Toxicology, Inonu University","Amphibia","Chordata","Animalia","Aquatic","larvae",72,"herbicide","NO","n/a","environmental","acute","23","n/a","starved","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"n/a"
208,"wos1023","glyphosate",500,"LC50","n/a","n/a","n/a",6,5,"5 tadpoles, 6 replicates","Roundup Star",35.1,"LC50","0.4","0.7","CI_95",6,5,"5 tadpoles, 6 replicates","log(dose)-normalised response","wos1023_g","wos1023_2","Xenopus laevis","african clawed frog","Laboratory of Environmental Toxicology, Inonu University","Amphibia","Chordata","Animalia","Aquatic","larvae",96,"herbicide","NO","n/a","environmental","acute","23","n/a","starved","n/a","YES","n/a","YES","soluble concentrate","YES","n/a",2020,"n/a"
223,"wos45","glyphosate",300,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Ultramax",6.76,"LC50","0.31","0.35","CI_95",4,5,"4 containers, 5 individuals","probit","wos45_a","wos_45_1","Leptodactylus latrans","creole frog","Rio de la Plata Estuary/El pescado stream floodplain","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",24,"herbicide","NO","n/a","environmental","acute","25","n/a","fed","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2016,"n/a"
224,"wos45","glyphosate",300,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Ultramax",3.86,"LC50","0.26","0.25","CI_95",4,5,"4 containers, 5 individuals","probit","wos45_b","wos_45_1","Leptodactylus latrans","creole frog","Rio de la Plata Estuary/El pescado stream floodplain","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",48,"herbicide","NO","n/a","environmental","acute","25","n/a","fed","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2016,"n/a"
225,"wos45","glyphosate",300,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Ultramax",3.28,"LC50","0.25","0.18","CI_95",4,5,"4 containers, 5 individuals","probit","wos45_c","wos_45_1","Leptodactylus latrans","creole frog","Rio de la Plata Estuary/El pescado stream floodplain","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",72,"herbicide","NO","n/a","environmental","acute","25","n/a","fed","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2016,"n/a"
226,"wos45","glyphosate",300,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Ultramax",3.26,"LC50","0.22","0.17","CI_95",4,5,"4 containers, 5 individuals","probit","wos45_d","wos_45_1","Leptodactylus latrans","creole frog","Rio de la Plata Estuary/El pescado stream floodplain","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",96,"herbicide","NO","n/a","environmental","acute","25","n/a","fed","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2016,"n/a"
227,"wos45","glyphosate",300,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Ultramax",7.13,"LC50","0.33","0.42","CI_95",4,5,"4 containers, 5 individuals","probit","wos45_e","wos_45_2","Leptodactylus latrans","creole frog","Rio de la Plata Estuary/El pescado stream floodplain","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",24,"herbicide","NO","n/a","environmental","acute","25","n/a","starved","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2016,"n/a"
228,"wos45","glyphosate",300,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Ultramax",5.7,"LC50","0.28","0.27","CI_95",4,5,"4 containers, 5 individuals","probit","wos45_f","wos_45_2","Leptodactylus latrans","creole frog","Rio de la Plata Estuary/El pescado stream floodplain","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",48,"herbicide","NO","n/a","environmental","acute","25","n/a","starved","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2016,"n/a"
229,"wos45","glyphosate",300,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Ultramax",4.17,"LC50","0.9","0.48","CI_95",4,5,"4 containers, 5 individuals","probit","wos45_g","wos_45_2","Leptodactylus latrans","creole frog","Rio de la Plata Estuary/El pescado stream floodplain","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",72,"herbicide","NO","n/a","environmental","acute","25","n/a","starved","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2016,"n/a"
230,"wos45","glyphosate",300,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Ultramax",9.61,"LC50","0.69","1.84","CI_95",4,5,"4 containers, 5 individuals","probit","wos45_h","wos_45_3","Leptodactylus latrans","creole frog","Rio de la Plata Estuary/El pescado stream floodplain","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",72,"herbicide","NO","n/a","environmental","acute","25","n/a","fed","36 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2016,"n/a"
231,"wos45","glyphosate",300,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Ultramax",8.67,"LC50","0.55","0.61","CI_95",4,5,"4 containers, 5 individuals","probit","wos45_i","wos_45_3","Leptodactylus latrans","creole frog","Rio de la Plata Estuary/El pescado stream floodplain","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",96,"herbicide","NO","n/a","environmental","acute","25","n/a","fed","36 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2016,"n/a"
245,"scopus1818","glyphosate-IPA",20,"EC50","n/a","n/a","n/a",4,1,"4 replicates","Atanor",12.08,"EC50","3.15","3.15","SE",4,1,"4 replicates","non-linear","scopus1818_a","scopus1818_1","Raphidocelis subcapitata","n/a","University of Buenos Aires","Chlorophyceae","Chlorophyta","Plantae","Aquatic","n/a",168,"herbicide","NO","n/a","environmental","chronic","22","n/a","n/a","n/a","NO","n/a","YES","soluble concentrate","YES","n/a",2021,"also performed studies on s.acutus whether neither the formulation or AI had an effect. However, only tests between 0-20 with no associated range finding test so excluded. "
276,"wos194","2,4-Dichlorophenoxyacetic acid",100,"LD50","n/a","n/a","n/a",11,1,"11 individuals housed separately","2,4-Dichlorophenoxyacetic acid formulation",100,"LD50","n/a","n/a","n/a",10,1,"10 individuals housed separately","n/a","wos194_a","wos194_1","Mus musculus","mouse","ICR/Jcl","Mammalia","Chordata","Animalia","Terrestrial","adult",216,"herbicide","NO","female","oral-food","chronic","n/a","n/a","fed","1344","NO","n/a","YES","liquid formulation","YES","n/a",2007,"neither the ai or the formulation had an effect."
278,"wos292","atrazine",200,"LD50","n/a","n/a","n/a",4,10,"4 replicates, 10 individuals","nano atrazine",118,"LD50","50","50","CI_95",4,10,"4 replicates, 10 individuals","Thres2P","wos292_a","wos292_1","Enchytraeus crypticus","n/a","n/a","Clitellata","Annelida","Animalia","Terrestrial","adult",672,"herbicide","YES","n/a","environmental","chronic","20","n/a","fed","432","YES","n/a","YES","nanoparticles","YES","n/a",2019,"could not extract atrazine vs gesaprim because they were tested over different concentration ranges. Also, can't extract atrazine vs nano-ATZ for FLCt test because one has no effect (>200) and the other has an endpoint of 252, even though it was only tested from 0-200. Must have extrapolated but makes comparison not possible. "
283,"scopus1816","glyphosate-IPA",41.48,"LC50","n/a","n/a","n/a",3,10,"3 replicates, 10 individuals per replicate","Roundup",1.8,"LC50","0.07","0.08","CI_95",4,10,"4 replicates, 10 individuals","probit/spearman karber","scopus1816_a","scopus1816_1","R. pipiens","n/a","Wards Natural Science","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",96,"herbicide","NO","n/a","environmental","acute","20","7.2","n/a","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2012,"n/a"
284,"scopus1816","glyphosate-IPA",41.48,"LC50","n/a","n/a","n/a",3,10,"3 replicates, 10 individuals per replicate","Roundup",2.5,"LC50","0.12","0.13","CI_95",4,10,"4 replicates, 10 individuals","probit/spearman karber","scopus1816_b","scopus1816_2","H. chrysoscelis","n/a","Pickens and Greenwood Countie","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",96,"herbicide","NO","n/a","environmental","acute","20","7.2","n/a","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2012,"n/a"
285,"scopus1816","glyphosate-IPA",41.48,"LC50","n/a","n/a","n/a",3,10,"3 replicates, 10 individuals per replicate","Roundup",2.77,"LC50","0.11","0.12","CI_95",4,10,"4 replicates, 10 individuals","probit/spearman karber","scopus1816_c","scopus1816_3","R. catesbeiana","n/a","Pickens and Greenwood Countie","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",96,"herbicide","NO","n/a","environmental","acute","20","7.2","n/a","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2012,"n/a"
286,"scopus1816","glyphosate-IPA",41.48,"LC50","n/a","n/a","n/a",3,10,"3 replicates, 10 individuals per replicate","Roundup",4.21,"LC50","0.13","0.12","CI_95",4,10,"4 replicates, 10 individuals","probit/spearman karber","scopus1816_d","scopus1816_4","B. fowleri","n/a","Pickens and Greenwood Countie","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",96,"herbicide","NO","n/a","environmental","acute","20","7.2","n/a","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2012,"n/a"
287,"scopus1816","glyphosate-IPA",41.48,"LC50","n/a","n/a","n/a",3,10,"3 replicates, 10 individuals per replicate","Roundup",4.22,"LC50","0.2","0.2","CI_95",4,10,"4 replicates, 10 individuals","probit/spearman karber","scopus1816_e","scopus1816_5","R. clamitans","n/a","Pickens and Greenwood Countie","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",96,"herbicide","NO","n/a","environmental","acute","20","7.2","n/a","25 (gosner stage)","YES","n/a","YES","soluble concentrate","YES","n/a",2012,"n/a"
331,"wos2172","glyphosate-IPA",343,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup",3.1,"LC50","0.3","0.3","CI_95",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_a","wos2172_1","Litoria moorei","n/a","Mandurah District","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",24,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water. Explanation for wos2172. Where possible gly-IPA was matched with roundup and roundup biactive. If gly-ipa was not available, gly-tech was used instead. For touchdown, the ai was not gly-ipa but gly-trimesium. Therefore, gly-ipa vs touchdown comparisons were excluded. Some effect sizes were excluded as both ai and formulation had no effect but were tested over different concentration ranges."
332,"wos2172","glyphosate-IPA",343,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup",2.9,"LC50","0.3","0.3","CI_95",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_b","wos2172_1","Litoria moorei","n/a","Mandurah District","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",48,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water"
334,"wos2172","glyphosate-IPA",343,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Biactive",333,"LC50","28","30","CI_95",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_a","wos2172_3","Litoria moorei","n/a","Mandurah District","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",24,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water"
335,"wos2172","glyphosate-IPA",343,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup Biactive",328,"LC50","32","35","CI_95",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_b","wos2172_3","Litoria moorei","n/a","Mandurah District","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",48,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water"
340,"wos2172","glyphosate-IPA",373,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup",8.6,"LC50","0.8","0.9","CI_95",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_g","wos2172_6","Heleioporus eyrei","n/a","Perth","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",24,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water"
341,"wos2172","glyphosate-IPA",373,"LC50","n/a","n/a","n/a",4,5,"4 containers, 5 individuals","Roundup",6.3,"LC50","0.7","0.8","CI_95",4,5,"4 containers, 5 individuals","Spearman-Karber","wos2172_h","wos2172_6","Heleioporus eyrei","n/a","Perth","Amphibia","Chordata","Animalia","Aquatic/Terrestrial","larvae",48,"herbicide","NO","n/a","environmental","acute","20","n/a","starved","25 (gosner stage)","YES","44","YES","soluble concentrate","YES","n/a",1999,"soft water"
